Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"VÃ­quez-Zamora, M., Caro, M., Finkers, R., Tikunov, Y., Bovy, A., Visser, R.G., Bai, Y., Van Heusden, S.","Mapping in the era of sequencing: High density genotyping and its application for mapping TYLCV resistance in Solanum pimpinellifolium",2014,"BMC Genomics",15,1, 1152,,,,,10.1186/1471-2164-15-1152,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84991935175&partnerID=40&md5=ecf7226f542ad685fff26f5e71b03baf",Article,Scopus,2-s2.0-84991935175
"O'Leary, B.M., Rico, A., McCraw, S., Fones, H.N., Preston, G.M.","The infiltration-centrifugation technique for extraction of apoplastic fluid from plant leaves using Phaseolus vulgaris as an example",2014,"Journal of Visualized Experiments",,94,,,,,5,10.3791/52113,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84921671460&partnerID=40&md5=5aee2d5e20c39b0624afe6582bacb13c",Article,Scopus,2-s2.0-84921671460
"Hunerdosse, D.M., Morris, P.J., Miyamoto, D.K., Fisher, K.J., Bateman, L.A., Ghazaleh, J.R., Zhong, S., Nomura, D.K.","Chemical genetics screening reveals kiaa1363 as a cytokine-lowering target",2014,"ACS Chemical Biology",9,12,,2905,2913,,3,10.1021/cb500717g,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84919680257&partnerID=40&md5=0fc61a5bad5b0220764fdcdb24f05ebb",Article,Scopus,2-s2.0-84919680257
"Jiménez-Girón, A., Muñoz-González, I., Martín-Álvarez, P.J., Moreno-Arribas, M.V., Bartolomé, B.","Towards the fecal metabolome derived from moderate red wine intake",2014,"Metabolites",4,4,,1101,1118,,1,10.3390/metabo4041101,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85016493633&partnerID=40&md5=99f94509f70c22e0beeb3b2da49938eb",Article,Scopus,2-s2.0-85016493633
"Martí-Arbona, R., Mu, F., Nowak-Lovato, K.L., Wren, M.S., Unkefer, C.J., Unkefer, P.J.","Automated genomic context analysis and experimental validation platform for discovery of prokaryote transcriptional regulator functions",2014,"BMC Genomics",15,1, 1142,,,,1,10.1186/1471-2164-15-1142,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84924874528&partnerID=40&md5=9ebec5f12c6196c8810ed63e2ab594be",Article,Scopus,2-s2.0-84924874528
"Vermeersch, K.A., Wang, L., McDonald, J.F., Styczynski, M.P.","Distinct metabolic responses of an ovarian cancer stem cell line",2014,"BMC Systems Biology",,,,1,14,,6,10.1186/s12918-014-0134-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84928651415&partnerID=40&md5=da426d46961c96882fbc8e6fbbcb23c8",Article in Press,Scopus,2-s2.0-84928651415
"Öman, T., Tessem, M.-B., Bathen, T.F., Bertilsson, H., Angelsen, A., Hedenström, M., Andreassen, T.","Identification of metabolites from 2D H-C HSQC NMR using peak correlation plots",2014,"BMC Bioinformatics",15,1, 413,,,,5,10.1186/s12859-014-0413-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84923930656&partnerID=40&md5=7b3ac6e7c99338952c79f6931ab5089d",Article,Scopus,2-s2.0-84923930656
"Zhao, F., Malm, S.W., Hinchman, A.N., Li, H., Beeks, C.G., Klimecki, W.T.","Arsenite-induced pseudo-hypoxia results in loss of anchorage-dependent growth in BEAS-2B pulmonary epithelial cells",2014,"PLoS ONE",9,12, e114549,,,,5,10.1371/journal.pone.0114549,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84918556503&partnerID=40&md5=d8386370e5d97b25618bb6b5223dfabf",Article,Scopus,2-s2.0-84918556503
"Priolo, C., Pyne, S., Rose, J., Regan, E.R., Zadra, G., Photopoulos, C., Cacciatore, S., Schultz, D., Scaglia, N., McDunn, J., De Marzo, A.M., Loda, M.","AKT1 and MYC induce distinctive metabolic fingerprints in human prostate cancer",2014,"Cancer Research",74,24,,7198,7204,,18,10.1158/0008-5472.CAN-14-1490,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84918573255&partnerID=40&md5=69058756141caa6eed45d20448a63af7",Article,Scopus,2-s2.0-84918573255
"Richardson, L.L., Stanić, D., May, A., Brownell, A., Gantar, M., Campagna, S.R.","Ecology and physiology of the pathogenic cyanobacterium Roseofilum reptotaenium",2014,"Life",4,4,,968,987,,9,10.3390/life4040968,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84922014351&partnerID=40&md5=807379f53af121201d1e2243147b7782",Article,Scopus,2-s2.0-84922014351
"Boja, E.S., Kinsinger, C.R., Rodriguez, H., Srinivas, P.","Integration of omics sciences to advance biology and medicine",2014,"Clinical Proteomics",11,1, 45,,,,4,10.1186/1559-0275-11-45,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84920075198&partnerID=40&md5=fd2913a8b112e8636623681102d947a7",Conference Paper,Scopus,2-s2.0-84920075198
"Murakami, I., Chaleckis, R., Pluskal, T., Ito, K., Hori, K., Ebe, M., Yanagida, M., Kondoh, H.","Metabolism of skin-absorbed resveratrol into its glucuronized form in mouse skin",2014,"PLoS ONE",9,12, e115359,,,,8,10.1371/journal.pone.0115359,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84918551405&partnerID=40&md5=0717b88eb6ab30f14534eab17b06bc66",Article,Scopus,2-s2.0-84918551405
"Cao, M.D., Lamichhane, S., Lundgren, S., Bofin, A., FjÃ¸sne, H., GiskeÃ¸degÃ¥rd, G.F., Bathen, T.F.","Metabolic characterization of triple negative breast cancer",2014,"BMC Cancer",14,1, 941,,,,24,10.1186/1471-2407-14-941,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964312498&partnerID=40&md5=581dddab4d475b5df8e156e2a9e62295",Article,Scopus,2-s2.0-84964312498
"Ulanet, D.B., Couto, K., Jha, A., Choe, S., Wang, A., Woo, H.-K., Steadman, M., Delabarre, B., Gross, S., Driggers, E., Dorsch, M., Hurov, J.B.","Mesenchymal phenotype predisposes lung cancer cells to impaired proliferation and redox stress in response to glutaminase inhibition",2014,"PLoS ONE",9,12, e115144,,,,4,10.1371/journal.pone.0115144,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84918523040&partnerID=40&md5=6efe76800e41494e0eec1be14e4e6bff",Article,Scopus,2-s2.0-84918523040
"Jay, N., Alison, G., Thomas, B.S., Mark, C., Nicholas, G.I., James, H., Daniel, A.T., Christian, L., Andrew, R.R.","Metabolomic perfusate analysis during kidney machine perfusion: The pig provides an appropriate model for human studies",2014,"PLoS ONE",9,12, e114818,,,,1,10.1371/journal.pone.0114818,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84917709269&partnerID=40&md5=714f4a8d946fd40f84b2d4b7a182a257",Article,Scopus,2-s2.0-84917709269
"Sriyudthsak, K., Sawada, Y., Chiba, Y., Yamashita, Y., Kanaya, S., Onouchi, H., Fujiwara, T., Naito, S., Voit, E.O., Shiraishi, F., Hirai, M.Y.","A U-system approach for predicting metabolic behaviors and responses based on an alleged metabolic reaction network",2014,"BMC Systems Biology",8,5, S4,,,,2,10.1186/1752-0509-8-S5-S4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84961659616&partnerID=40&md5=ee61a3b74ded3d354a15b1e500d18801",Article,Scopus,2-s2.0-84961659616
"Wu, M., Xiao, H., Ren, W., Yin, J., Hu, J., Duan, J., Liu, G., Tan, B., Xiong, X., Oso, A.O., Adeola, O., Yao, K., Yin, Y., Li, T.","An NMR-based metabolomic approach to investigate the effects of supplementation with glutamic acid in piglets challenged with deoxynivalenol",2014,"PLoS ONE",9,12, e113687,,,,7,10.1371/journal.pone.0113687,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84917696434&partnerID=40&md5=20f0a562a0ebf7b054286c0536a4c57e",Article,Scopus,2-s2.0-84917696434
"Lee, S.J., Woo, S.-I., Ahn, S.H., Lim, D.K., Hong, J.Y., Park, J.H., Lim, J., Kim, M.-K., Kwon, S.W.","Functional interpretation of metabolomics data as a new method for predicting long-term side effects: Treatment of atopic dermatitis in infants",2014,"Scientific Reports",4,, 07408,,,,2,10.1038/srep07408,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84942937983&partnerID=40&md5=6bbd0406283eac3c9beb126881bd8962",Article,Scopus,2-s2.0-84942937983
"Aggio, R.B.M., Mayor, A., Reade, S., Probert, C.S.J., Ruggiero, K.","Identifying and quantifying metabolites by scoring peaks of GC-MS data",2014,"BMC Bioinformatics",15,1, 374,,,,1,10.1186/s12859-014-0374-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84923866676&partnerID=40&md5=7e98f9121ec9e37aa2c48c86d889091e",Article,Scopus,2-s2.0-84923866676
"Liu, P., Lindstedt, A., Markkinen, N., Sinkkonen, J., Suomela, J.-P., Yang, B.","Characterization of metabolite profiles of leaves of bilberry (Vaccinium myrtillus L.) and lingonberry (Vaccinium vitis-idaea L.)",2014,"Journal of Agricultural and Food Chemistry",62,49,,12015,12026,,10,10.1021/jf503521m,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84916638435&partnerID=40&md5=113addea665e6cf3959738f30d55594a",Article,Scopus,2-s2.0-84916638435
"Fitzpatrick, M.A., McGrath, C.M., Young, S.P.","Pathomx: An interactive workflow-based tool for the analysis of metabolomic data",2014,"BMC Bioinformatics",15,1, 396,,,,5,10.1186/s12859-014-0396-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84924020376&partnerID=40&md5=e4452ef04d955d066a3ee64fc0fd449b",Article,Scopus,2-s2.0-84924020376
"Tolstikov, V., Nikolayev, A., Dong, S., Zhao, G., Kuo, M.-S.","Metabolomics analysis of metabolic effects of nicotinamide phosphoribosyltransferase (NAMPT) inhibition on human cancer cells",2014,"PLoS ONE",9,12, e114019,,,,19,10.1371/journal.pone.0114019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84915804111&partnerID=40&md5=b38e7dff20cf524e051ff39a37f2ccb0",Article,Scopus,2-s2.0-84915804111
"Ji, P., Wei, Y., Sun, H., Xue, W., Hua, Y., Li, P., Zhang, W., Zhang, L., Zhao, H., Li, J.","Metabolomics research on the hepatoprotective effect of Angelica sinensis polysaccharides through gas chromatography-mass spectrometry",2014,"Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences",973,,,45,54,,12,10.1016/j.jchromb.2014.10.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84949115860&partnerID=40&md5=2586089487cc5600a495dff8fd32c77a",Article,Scopus,2-s2.0-84949115860
"Rafiei, A., Sleno, L.","Comparison of peak-picking workflows for untargeted liquid chromatography/high-resolution mass spectrometry metabolomics data analysis",2014,"Rapid Communications in Mass Spectrometry",29,1,,119,127,,6,10.1002/rcm.7094,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84915809442&partnerID=40&md5=0965755379fdbf49fd6a063b144fb08e",Article,Scopus,2-s2.0-84915809442
"Lin, Z., Roede, J.R., He, C., Jones, D.P., Filipov, N.M.","Short-term oral atrazine exposure alters the plasma metabolome of male C57BL/6 mice and disrupts α-linolenate, tryptophan, tyrosine and other major metabolic pathways",2014,"Toxicology",326,,,130,141,,10,10.1016/j.tox.2014.11.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84912065348&partnerID=40&md5=eb19ec46215322bab753be2ffcd01b24",Article,Scopus,2-s2.0-84912065348
"Zhou, X., Pei, J., Huang, G.","Reactive paper spray mass spectrometry for in situ identification of quinones",2014,"Rapid Communications in Mass Spectrometry",29,1,,100,106,,11,10.1002/rcm.7092,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84915819350&partnerID=40&md5=def2fa988807fdfe593325862a8c0131",Article,Scopus,2-s2.0-84915819350
"Coneva, V., Simopoulos, C., Casaretto, J.A., El-kereamy, A., Guevara, D.R., Cohn, J., Zhu, T., Guo, L., Alexander, D.C., Bi, Y.-M., McNicholas, P.D., Rothstein, S.J.","Metabolic and co-expression network-based analyses associated with nitrate response in rice",2014,"BMC Genomics",15,1, 1056,,,,2,10.1186/1471-2164-15-1056,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84924297491&partnerID=40&md5=901f9b43292e552a4efc91018c0c6959",Article,Scopus,2-s2.0-84924297491
"Lynam-Lennon, N., Connaughton, R., Carr, E., Mongan, A.-M., O'Farrell, N.J., Porter, R.K., Brennan, L., Pidgeon, G.P., Lysaght, J., Reynolds, J.V., O'Sullivan, J.","Excess visceral adiposity induces alterations in mitochondrial function and energy metabolism in esophageal adenocarcinoma",2014,"BMC Cancer",14,1, 907,,,,5,10.1186/1471-2407-14-907,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84924375901&partnerID=40&md5=dbf78199285fcb1263a283f16f0140e1",Article,Scopus,2-s2.0-84924375901
"Cretenet, M., Le Gall, G., Wegmann, U., Even, S., Shearman, C., Stentz, R., Jeanson, S.","Early adaptation to oxygen is key to the industrially important traits of lactococcus lactis ssp. cremoris during milk fermentation",2014,"BMC Genomics",15,1, 1054,,,,9,10.1186/1471-2164-15-1054,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84924284722&partnerID=40&md5=636f576448aee4ced9377c62b6b9956e",Article,Scopus,2-s2.0-84924284722
"Tian, J.-S., Peng, G.-J., Gao, X.-X., Zhou, Y.-Z., Xing, J., Qin, X.-M., Du, G.-H.","Dynamic analysis of the endogenous metabolites in depressed patients treated with TCM formula Xiaoyaosan using urinary &lt;sup&gt;1&lt;/sup&gt;H NMR-based metabolomics",2014,"Journal of Ethnopharmacology",,PART A,,1,10,,26,10.1016/j.jep.2014.10.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84908510785&partnerID=40&md5=a53328b32822ca554c22812b403dd9c0",Article,Scopus,2-s2.0-84908510785
"Rachakonda, V., Gabbert, C., Raina, A., Bell, L.N., Cooper, S., Malik, S., Behari, J.","Serum metabolomic profiling in acute alcoholic hepatitis identifies multiple dysregulated pathways",2014,"PLoS ONE",9,12, e113860,,,,9,10.1371/journal.pone.0113860,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84914693446&partnerID=40&md5=8fed241c7ec7cc163d04421392fedfb9",Article,Scopus,2-s2.0-84914693446
"Kluger, B., Bueschl, C., Neumann, N., Stückler, R., Doppler, M., Chassy, A.W., Waterhouse, A.L., Rechthaler, J., Kampleitner, N., Thallinger, G.G., Adam, G., Krska, R., Schuhmacher, R.","Untargeted profiling of tracer-derived metabolites using stable isotopic labeling and fast polarity-switching LC-ESI-HRMS",2014,"Analytical Chemistry",86,23,,11533,11537,,16,10.1021/ac503290j,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84915748439&partnerID=40&md5=a5ef12997db84508c2802673e657796f",Article,Scopus,2-s2.0-84915748439
"Huang, C.-C., Lou, B.-S., Hsu, F.-L., Hou, C.-C.","Use of urinary metabolomics to evaluate the effect of hyperuricemia on the kidney",2014,"Food and Chemical Toxicology",74,,,35,44,,4,10.1016/j.fct.2014.08.017,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84907661551&partnerID=40&md5=6f8ba5e2af54967b4f7d06b561688f4f",Article,Scopus,2-s2.0-84907661551
"Turi, C.E., Axwik, K.E., Murch, S.J.","In vitro conservation, phytochemistry, and medicinal activity of Artemisia tridentata Nutt.: metabolomics as a hypothesis-generating tool for plant tissue culture",2014,"Plant Growth Regulation",74,3,,239,250,,,10.1007/s10725-014-9915-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84896419251&partnerID=40&md5=7d6b615dd061b6115a02d1960437bc39",Article,Scopus,2-s2.0-84896419251
"Chen, S., Wu, S., Li, W., Chen, X., Dong, X., Tan, G., Zhang, H., Hong, Z., Zhu, Z., Chai, Y.","Investigation of the therapeutic effectiveness of active components in Sini decoction by a comprehensive GC/LC-MS based metabolomics and network pharmacology approaches",2014,"Molecular BioSystems",10,12,,3310,3321,,8,10.1039/c4mb00048j,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84908425478&partnerID=40&md5=6614952152c9908559315da3198553d7",Article,Scopus,2-s2.0-84908425478
"Geng, Y., Sun, F., Ma, Y., Deng, L., Lü, J., Li, T., Wang, C.","Serum metabolomics analysis on benign prostate hyperplasia in mice based on liquid chromatography-mass spectrometry",2014,"Se pu = Chinese journal of chromatography / Zhongguo hua xue hui",32,12,,1301,1305,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940538707&partnerID=40&md5=d6a6bf8c9388ce179a1026e534a93a1b",Article,Scopus,2-s2.0-84940538707
"Lee, S.-H., Kim, S., Kwon, M.-A., Jung, Y.H., Shin, Y.-A., Kim, K.H.","Atmospheric vs. anaerobic processing of metabolome samples for the metabolite profiling of a strict anaerobic bacterium, Clostridium acetobutylicum",2014,"Biotechnology and Bioengineering",111,12,,2528,2536,,7,10.1002/bit.25314,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84918511607&partnerID=40&md5=d239287acf6baa24e119444534792bc5",Article,Scopus,2-s2.0-84918511607
"González-Domínguez, R., García-Barrera, T., Vitorica, J., Gómez-Ariza, J.L.","Region-specific metabolic alterations in the brain of the APP/PS1 transgenic mice of Alzheimer's disease",2014,"Biochimica et Biophysica Acta - Molecular Basis of Disease",1842,12,,2395,2402,,20,10.1016/j.bbadis.2014.09.014,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84908689746&partnerID=40&md5=02f087319974c740079e43f556667aa5",Article,Scopus,2-s2.0-84908689746
"Deja, S., Wieczorek, P.P., Halama, M., Jasicka-Misiak, I., Kafarski, P., Poliwoda, A., Młynarz, P.","Do differences in chemical composition of stem and cap of Amanita muscaria fruiting bodies correlate with topsoil type?",2014,"PLoS ONE",9,12, e104084,,,,2,10.1371/journal.pone.0104084,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84914690051&partnerID=40&md5=3c1cf9d471510479247f197ebe776b9c",Article,Scopus,2-s2.0-84914690051
"Kuligowski, J., Pérez-Guaita, D., Lliso, I., Escobar, J., León, Z., Gombau, L., Solberg, R., Saugstad, O.D., Vento, M., Quintás, G.","Detection of batch effects in liquid chromatography-mass spectrometry metabolomic data using guided principal component analysis",2014,"Talanta",130,,,442,448,,3,10.1016/j.talanta.2014.07.031,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84905581994&partnerID=40&md5=deb6fdcd28c6e8eb2f68a687304d24df",Article,Scopus,2-s2.0-84905581994
"Matsumoto, K., Tobitani, K., Aoki, S., Song, Y., Ooi, T., Taguchi, S.","Improved production of poly(lactic acid)-like polyester based on metabolite analysis to address the rate-limiting step",2014,"AMB Express",4,1, 83,1,5,,3,10.1186/s13568-014-0083-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84924179768&partnerID=40&md5=84fb2efe0c59e8fa92a05a940d90444d",Article,Scopus,2-s2.0-84924179768
"Fages, A., Ferrari, P., Monni, S., Dossus, L., Floegel, A., Mode, N., Johansson, M., Travis, R.C., Bamia, C., Sánchez-Pérez, M.-J., Chiodini, P., Boshuizen, H.C., Chadeau-Hyam, M., Riboli, E., Jenab, M., Elena-Herrmann, B.","Investigating sources of variability in metabolomic data in the EPIC study: the Principal Component Partial R-square (PC-PR2) method",2014,"Metabolomics",10,6, 0,1074,1083,,12,10.1007/s11306-014-0647-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84948760819&partnerID=40&md5=c865edf7b630d0f3d543e603ac921c06",Article,Scopus,2-s2.0-84948760819
"Yang, Y., Liu, Y., Zheng, L., Wu, T., Li, J., Zhang, Q., Li, X., Yuan, F., Wang, L., Guo, J.","Serum metabonomic analysis of apoE<sup>-/-</sup> mice reveals progression axes for atherosclerosis based on NMR spectroscopy",2014,"Molecular BioSystems",10,12,,3170,3178,,4,10.1039/c4mb00334a,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84908439879&partnerID=40&md5=99b0331b22b741a7b5eec9c73b2a4383",Article,Scopus,2-s2.0-84908439879
"Tse, S., Leung, L., Raje, S., Seymour, M., Shishikura, Y., Scott Obach, R.","Disposition and Metabolic profiling of [<sup>14</sup> c]Cerlapirdine using accelerator mass spectrometry",2014,"Drug Metabolism and Disposition",42,12,,2023,2032,,6,10.1124/dmd.114.059675,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84910088984&partnerID=40&md5=bb22d4f71a4e33c04e66e5bb29f288c5",Article,Scopus,2-s2.0-84910088984
"Han, J.-C., Yu, J., Gao, Y.-J.","Lipidomics investigation of reversal effect of glycyrrhizin (GL) towards lithocholic acid (LCA)-induced alteration of phospholipid profiles",2014,"Pharmaceutical Biology",52,12,,1624,1628,,1,10.3109/13880209.2014.900810,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84908670757&partnerID=40&md5=f5ce3f801a2af26303145fbcb900562b",Article,Scopus,2-s2.0-84908670757
"Handtke, S., Volland, S., Methling, K., Albrecht, D., Becher, D., Nehls, J., Bongaerts, J., Maurer, K.-H., Lalk, M., Liesegang, H., Voigt, B., Daniel, R., Hecker, M.","Cell physiology of the biotechnological relevant bacterium Bacillus pumilus-An omics-based approach",2014,"Journal of Biotechnology",,Part A,,204,214,,6,10.1016/j.jbiotec.2014.08.028,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84919398921&partnerID=40&md5=f1d7706b84f9b67849f80b212391c5af",Article,Scopus,2-s2.0-84919398921
"Cunniff, B., Wozniak, A.N., Sweeney, P., DeCosta, K., Heintz, N.H.","Peroxiredoxin 3 levels regulate a mitochondrial redox setpoint in malignant mesothelioma cells",2014,"Redox Biology",3,,,79,87,,7,10.1016/j.redox.2014.11.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84911891833&partnerID=40&md5=f238b1013635d0c1ef33aaa417728f12",Article,Scopus,2-s2.0-84911891833
