," This is a citation overview for a set of 9206 documents.",,,,,,,,,,,,,,,,,
2014,"Loss of the atypical kinases ABC1K7 and ABC1K8 changes the lipid composition of the chloroplast membrane","Manara A., Dalcorso G., Guzzo F., Furini A.",00320781,"Plant and Cell Physiology",56, 6,0,0,0,0,0,0,0,0,0,0,3,3
2014,"Mapping in the era of sequencing: High density genotyping and its application for mapping TYLCV resistance in Solanum pimpinellifolium","Viquez-Zamora M., Caro M., Finkers R., Tikunov Y., Bovy A., Visser R.G., Bai Y., Van Heusden S.",14712164,"BMC Genomics",15, 1,0,0,0,0,0,0,0,0,0,0,0,0
2014,"The infiltration-centrifugation technique for extraction of apoplastic fluid from plant leaves using Phaseolus vulgaris as an example","O'Leary B.M., Rico A., McCraw S., Fones H.N., Preston G.M.",1940087X,"Journal of Visualized Experiments",, 94,0,0,0,0,0,0,0,0,0,0,5,5
2014,"Chemical genetics screening reveals kiaa1363 as a cytokine-lowering target","Hunerdosse D.M., Morris P.J., Miyamoto D.K., Fisher K.J., Bateman L.A., Ghazaleh J.R., Zhong S., Nomura D.K.",15548929,"ACS Chemical Biology",9, 12,0,0,0,0,0,0,0,0,0,0,3,3
2014,"Towards the fecal metabolome derived from moderate red wine intake","Jimenez-Giron A., Munoz-Gonzalez I., Martin-Alvarez P.J., Moreno-Arribas M.V., Bartolome B.",22181989,"Metabolites",4, 4,0,0,0,0,0,0,0,0,0,0,1,1
2014,"Automated genomic context analysis and experimental validation platform for discovery of prokaryote transcriptional regulator functions","Marti-Arbona R., Mu F., Nowak-Lovato K.L., Wren M.S., Unkefer C.J., Unkefer P.J.",14712164,"BMC Genomics",15, 1,0,0,0,0,0,0,0,0,0,0,1,1
2014,"Distinct metabolic responses of an ovarian cancer stem cell line","Vermeersch K.A., Wang L., McDonald J.F., Styczynski M.P.",17520509,"BMC Systems Biology",, ,0,0,0,0,0,0,0,0,0,0,6,6
2014,"Identification of metabolites from 2D H-C HSQC NMR using peak correlation plots","Oman T., Tessem M.-B., Bathen T.F., Bertilsson H., Angelsen A., Hedenstrom M., Andreassen T.",14712105,"BMC Bioinformatics",15, 1,0,0,0,0,0,0,0,0,0,0,5,5
2014,"Arsenite-induced pseudo-hypoxia results in loss of anchorage-dependent growth in BEAS-2B pulmonary epithelial cells","Zhao F., Malm S.W., Hinchman A.N., Li H., Beeks C.G., Klimecki W.T.",19326203,"PLoS ONE",9, 12,0,0,0,0,0,0,0,0,0,0,5,5
2014,"AKT1 and MYC induce distinctive metabolic fingerprints in human prostate cancer","Priolo C., Pyne S., Rose J., Regan E.R., Zadra G., Photopoulos C., Cacciatore S., Schultz D., Scaglia N., McDunn J., De Marzo A.M., Loda M.",00085472,"Cancer Research",74, 24,0,0,0,0,0,0,0,0,0,0,18,18
2014,"Ecology and physiology of the pathogenic cyanobacterium Roseofilum reptotaenium","Richardson L.L., Stanic D., May A., Brownell A., Gantar M., Campagna S.R.",20751729,"Life",4, 4,0,0,0,0,0,0,0,0,0,0,9,9
2014,"Integration of omics sciences to advance biology and medicine","Boja E.S., Kinsinger C.R., Rodriguez H., Srinivas P.",15426416,"Clinical Proteomics",11, 1,0,0,0,0,0,0,0,0,0,0,4,4
2014,"Metabolism of skin-absorbed resveratrol into its glucuronized form in mouse skin","Murakami I., Chaleckis R., Pluskal T., Ito K., Hori K., Ebe M., Yanagida M., Kondoh H.",19326203,"PLoS ONE",9, 12,0,0,0,0,0,0,0,0,0,0,8,8
2014,"Metabolic characterization of triple negative breast cancer","Cao M.D., Lamichhane S., Lundgren S., Bofin A., Fjosne H., Giskeodegard G.F., Bathen T.F.",14712407,"BMC Cancer",14, 1,0,0,0,0,0,0,0,0,0,0,24,24
2014,"Mesenchymal phenotype predisposes lung cancer cells to impaired proliferation and redox stress in response to glutaminase inhibition","Ulanet D.B., Couto K., Jha A., Choe S., Wang A., Woo H.-K., Steadman M., Delabarre B., Gross S., Driggers E., Dorsch M., Hurov J.B.",19326203,"PLoS ONE",9, 12,0,0,0,0,0,0,0,0,0,0,4,4
2014,"Metabolomic perfusate analysis during kidney machine perfusion: The pig provides an appropriate model for human studies","Jay N., Alison G., Thomas B.S., Mark C., Nicholas G.I., James H., Daniel A.T., Christian L., Andrew R.R.",19326203,"PLoS ONE",9, 12,0,0,0,0,0,0,0,0,0,0,1,1
2014,"A U-system approach for predicting metabolic behaviors and responses based on an alleged metabolic reaction network","Sriyudthsak K., Sawada Y., Chiba Y., Yamashita Y., Kanaya S., Onouchi H., Fujiwara T., Naito S., Voit E.O., Shiraishi F., Hirai M.Y.",17520509,"BMC Systems Biology",8, 5,0,0,0,0,0,0,0,0,0,0,2,2
2014,"An NMR-based metabolomic approach to investigate the effects of supplementation with glutamic acid in piglets challenged with deoxynivalenol","Wu M., Xiao H., Ren W., Yin J., Hu J., Duan J., Liu G., Tan B., Xiong X., Oso A.O., Adeola O., Yao K., Yin Y., Li T.",19326203,"PLoS ONE",9, 12,0,0,0,0,0,0,0,0,0,0,7,7
2014,"Functional interpretation of metabolomics data as a new method for predicting long-term side effects: Treatment of atopic dermatitis in infants","Lee S.J., Woo S.-I., Ahn S.H., Lim D.K., Hong J.Y., Park J.H., Lim J., Kim M.-K., Kwon S.W.",20452322,"Scientific Reports",4, ,0,0,0,0,0,0,0,0,0,0,2,2
2014,"Identifying and quantifying metabolites by scoring peaks of GC-MS data","Aggio R.B.M., Mayor A., Reade S., Probert C.S.J., Ruggiero K.",14712105,"BMC Bioinformatics",15, 1,0,0,0,0,0,0,0,0,0,0,1,1
2014,"Characterization of metabolite profiles of leaves of bilberry (Vaccinium myrtillus L.) and lingonberry (Vaccinium vitis-idaea L.)","Liu P., Lindstedt A., Markkinen N., Sinkkonen J., Suomela J.-P., Yang B.",00218561,"Journal of Agricultural and Food Chemistry",62, 49,0,0,0,0,0,0,0,0,0,0,10,10
2014,"Pathomx: An interactive workflow-based tool for the analysis of metabolomic data","Fitzpatrick M.A., McGrath C.M., Young S.P.",14712105,"BMC Bioinformatics",15, 1,0,0,0,0,0,0,0,0,0,0,5,5
2014,"Metabolomics analysis of metabolic effects of nicotinamide phosphoribosyltransferase (NAMPT) inhibition on human cancer cells","Tolstikov V., Nikolayev A., Dong S., Zhao G., Kuo M.-S.",19326203,"PLoS ONE",9, 12,0,0,0,0,0,0,0,0,0,0,19,19
2014,"Metabolomics research on the hepatoprotective effect of Angelica sinensis polysaccharides through gas chromatography-mass spectrometry","Ji P., Wei Y., Sun H., Xue W., Hua Y., Li P., Zhang W., Zhang L., Zhao H., Li J.",15700232,"Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences",973, ,0,0,0,0,0,0,0,0,0,0,12,12
2014,"Comparison of peak-picking workflows for untargeted liquid chromatography/high-resolution mass spectrometry metabolomics data analysis","Rafiei A., Sleno L.",09514198,"Rapid Communications in Mass Spectrometry",29, 1,0,0,0,0,0,0,0,0,0,0,6,6
2014,"Short-term oral atrazine exposure alters the plasma metabolome of male C57BL/6 mice and disrupts α-linolenate, tryptophan, tyrosine and other major metabolic pathways","Lin Z., Roede J.R., He C., Jones D.P., Filipov N.M.",0300483X,"Toxicology",326, ,0,0,0,0,0,0,0,0,0,0,10,10
2014,"Reactive paper spray mass spectrometry for in situ identification of quinones","Zhou X., Pei J., Huang G.",09514198,"Rapid Communications in Mass Spectrometry",29, 1,0,0,0,0,0,0,0,0,0,0,11,11
2014,"Metabolic and co-expression network-based analyses associated with nitrate response in rice","Coneva V., Simopoulos C., Casaretto J.A., El-kereamy A., Guevara D.R., Cohn J., Zhu T., Guo L., Alexander D.C., Bi Y.-M., McNicholas P.D., Rothstein S.J.",14712164,"BMC Genomics",15, 1,0,0,0,0,0,0,0,0,0,0,2,2
2014,"Excess visceral adiposity induces alterations in mitochondrial function and energy metabolism in esophageal adenocarcinoma","Lynam-Lennon N., Connaughton R., Carr E., Mongan A.-M., O'Farrell N.J., Porter R.K., Brennan L., Pidgeon G.P., Lysaght J., Reynolds J.V., O'Sullivan J.",14712407,"BMC Cancer",14, 1,0,0,0,0,0,0,0,0,0,0,5,5
2014,"Early adaptation to oxygen is key to the industrially important traits of lactococcus lactis ssp. cremoris during milk fermentation","Cretenet M., Le Gall G., Wegmann U., Even S., Shearman C., Stentz R., Jeanson S.",14712164,"BMC Genomics",15, 1,0,0,0,0,0,0,0,0,0,0,9,9
2014,"Dynamic analysis of the endogenous metabolites in depressed patients treated with TCM formula Xiaoyaosan using urinary &lt;sup&gt;1&lt;/sup&gt;H NMR-based metabolomics","Tian J.-S., Peng G.-J., Gao X.-X., Zhou Y.-Z., Xing J., Qin X.-M., Du G.-H.",03788741,"Journal of Ethnopharmacology",, ,0,0,0,0,0,0,0,0,0,0,26,26
2014,"Serum metabolomic profiling in acute alcoholic hepatitis identifies multiple dysregulated pathways","Rachakonda V., Gabbert C., Raina A., Bell L.N., Cooper S., Malik S., Behari J.",19326203,"PLoS ONE",9, 12,0,0,0,0,0,0,0,0,0,0,9,9
2014,"Untargeted profiling of tracer-derived metabolites using stable isotopic labeling and fast polarity-switching LC-ESI-HRMS","Kluger B., Bueschl C., Neumann N., Stuckler R., Doppler M., Chassy A.W., Waterhouse A.L., Rechthaler J., Kampleitner N., Thallinger G.G., Adam G., Krska R., Schuhmacher R.",00032700,"Analytical Chemistry",86, 23,0,0,0,0,0,0,0,0,0,0,16,16
2014,"Use of urinary metabolomics to evaluate the effect of hyperuricemia on the kidney","Huang C.-C., Lou B.-S., Hsu F.-L., Hou C.-C.",02786915,"Food and Chemical Toxicology",74, ,0,0,0,0,0,0,0,0,0,0,4,4
2014,"In vitro conservation, phytochemistry, and medicinal activity of Artemisia tridentata Nutt.: metabolomics as a hypothesis-generating tool for plant tissue culture","Turi C.E., Axwik K.E., Murch S.J.",01676903,"Plant Growth Regulation",74, 3,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Investigation of the therapeutic effectiveness of active components in Sini decoction by a comprehensive GC/LC-MS based metabolomics and network pharmacology approaches","Chen S., Wu S., Li W., Chen X., Dong X., Tan G., Zhang H., Hong Z., Zhu Z., Chai Y.",1742206X,"Molecular BioSystems",10, 12,0,0,0,0,0,0,0,0,0,0,8,8
2014,"Serum metabolomics analysis on benign prostate hyperplasia in mice based on liquid chromatography-mass spectrometry","Geng Y., Sun F., Ma Y., Deng L., Lu J., Li T., Wang C.",10008713,"Se pu = Chinese journal of chromatography / Zhongguo hua xue hui",32, 12,0,0,0,0,0,0,0,0,0,0,1,1
2014,"Atmospheric vs. anaerobic processing of metabolome samples for the metabolite profiling of a strict anaerobic bacterium, Clostridium acetobutylicum","Lee S.-H., Kim S., Kwon M.-A., Jung Y.H., Shin Y.-A., Kim K.H.",00063592,"Biotechnology and Bioengineering",111, 12,0,0,0,0,0,0,0,0,0,0,7,7
2014,"Region-specific metabolic alterations in the brain of the APP/PS1 transgenic mice of Alzheimer's disease","Gonzalez-Dominguez R., Garcia-Barrera T., Vitorica J., Gomez-Ariza J.L.",09254439,"Biochimica et Biophysica Acta - Molecular Basis of Disease",1842, 12,0,0,0,0,0,0,0,0,0,0,20,20
2014,"Do differences in chemical composition of stem and cap of Amanita muscaria fruiting bodies correlate with topsoil type?","Deja S., Wieczorek P.P., Halama M., Jasicka-Misiak I., Kafarski P., Poliwoda A., Mlynarz P.",19326203,"PLoS ONE",9, 12,0,0,0,0,0,0,0,0,0,0,2,2
2014,"Detection of batch effects in liquid chromatography-mass spectrometry metabolomic data using guided principal component analysis","Kuligowski J., Perez-Guaita D., Lliso I., Escobar J., Leon Z., Gombau L., Solberg R., Saugstad O.D., Vento M., Quintas G.",00399140,"Talanta",130, ,0,0,0,0,0,0,0,0,0,0,3,3
2014,"Improved production of poly(lactic acid)-like polyester based on metabolite analysis to address the rate-limiting step","Matsumoto K., Tobitani K., Aoki S., Song Y., Ooi T., Taguchi S.",21910855,"AMB Express",4, 1,0,0,0,0,0,0,0,0,0,0,3,3
2014,"Investigating sources of variability in metabolomic data in the EPIC study: the Principal Component Partial R-square (PC-PR2) method","Fages A., Ferrari P., Monni S., Dossus L., Floegel A., Mode N., Johansson M., Travis R.C., Bamia C., Sanchez-Perez M.-J., Chiodini P., Boshuizen H.C., Chadeau-Hyam M., Riboli E., Jenab M., Elena-Herrmann B.",15733882,"Metabolomics",10, 6,0,0,0,0,0,0,0,0,0,0,12,12
2014,"Serum metabonomic analysis of apoE<sup>-/-</sup> mice reveals progression axes for atherosclerosis based on NMR spectroscopy","Yang Y., Liu Y., Zheng L., Wu T., Li J., Zhang Q., Li X., Yuan F., Wang L., Guo J.",1742206X,"Molecular BioSystems",10, 12,0,0,0,0,0,0,0,0,0,0,4,4
2014,"Disposition and Metabolic profiling of [<sup>14</sup> c]Cerlapirdine using accelerator mass spectrometry","Tse S., Leung L., Raje S., Seymour M., Shishikura Y., Scott Obach R.",00909556,"Drug Metabolism and Disposition",42, 12,0,0,0,0,0,0,0,0,0,0,6,6
2014,"Lipidomics investigation of reversal effect of glycyrrhizin (GL) towards lithocholic acid (LCA)-induced alteration of phospholipid profiles","Han J.-C., Yu J., Gao Y.-J.",13880209,"Pharmaceutical Biology",52, 12,0,0,0,0,0,0,0,0,0,0,1,1
2014,"Cell physiology of the biotechnological relevant bacterium Bacillus pumilus-An omics-based approach","Handtke S., Volland S., Methling K., Albrecht D., Becher D., Nehls J., Bongaerts J., Maurer K.-H., Lalk M., Liesegang H., Voigt B., Daniel R., Hecker M.",01681656,"Journal of Biotechnology",, ,0,0,0,0,0,0,0,0,0,0,6,6
2014,"Peroxiredoxin 3 levels regulate a mitochondrial redox setpoint in malignant mesothelioma cells","Cunniff B., Wozniak A.N., Sweeney P., DeCosta K., Heintz N.H.",22132317,"Redox Biology",3, ,0,0,0,0,0,0,0,0,0,0,7,7
2014,"Tissue-specific metabolites profiling and quantitative analyses of flavonoids in the rhizome of Belamcanda chinensis by combining laser-microdissection with UHPLC-Q/TOF-MS and UHPLC-QqQ-MS","Chen Y.J., Liang Z.T., Zhu Y., Xie G.Y., Tian M., Zhao Z.Z., Qin M.J.",00399140,"Talanta",130, ,0,0,0,0,0,0,0,0,0,0,11,11
2014,"Urine metabonomic study on long-term use of total ginsenosides in rats","Xie X., Chen S.-Q., Lv Y.-F., Wang X.-Y., Jia W.",10015302,"Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica",39, 23,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Recent advances in natural product discovery","Luo Y., Cobb R.E., Zhao H.",09581669,"Current Opinion in Biotechnology",30, ,0,0,0,0,0,0,0,0,0,0,30,30
2014,"Inhibition of monocarboxylate transporter-1 (MCT1) by AZD3965 enhances radiosensitivity by reducing lactate transport","Bola B.M., Chadwick A.L., Michopoulos F., Blount K.G., Telfer B.A., Williams K.J., Smith P.D., Critchlow S.E., Stratford I.J.",15357163,"Molecular Cancer Therapeutics",13, 12,0,0,0,0,0,0,0,0,0,0,19,19
2014,"Endocannabinoids anandamide and 2-arachidonoylglycerol are substrates for human CYP2J2 epoxygenase","McDougle D.R., Kambalyal A., Meling D.D., Das A.",00223565,"Journal of Pharmacology and Experimental Therapeutics",351, 3,0,0,0,0,0,0,0,0,0,0,18,18
2014,"Combining metabolomic non-targeted GC×GC–ToF–MS analysis and chemometric ASCA-based study of variances to assess dietary influence on type 2 diabetes development in a mouse model","Ly-Verdu S., Groger T.M., Arteaga-Salas J.M., Brandmaier S., Kahle M., Neschen S., Harbe De Angelis M., Zimmermann R.",16182642,"Analytical and Bioanalytical Chemistry",, ,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Diagnosis of major depression in hepatitis B patients by urine metabolomics","Hou L.-J., Xu Q.-Y., Duan S.-P., Wang H.-W., Li W.-W., Song X.-W., Shen B.-S.",16748115,"Journal of Shanghai Jiaotong University (Medical Science)",34, 11,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Actinopolyspora biskrensis sp. Nov., a novel halophilic actinomycete isolated from northern sahara","Saker R., Bouras N., Meklat A., Zitouni A., Schumann P., Sproer C., Klenk H.-P., Sabaou N.",03438651,"Current Microbiology",70, 3,0,0,0,0,0,0,0,0,0,0,3,3
2014,"An integrated transcriptome and expressed variant analysis of sepsis survival and death","Tsalik E.L., Langley R.J., Dinwiddie D.L., Miller N.A., Yoo B., van Velkinburgh J.C., Smith L.D., Thiffault I., Jaehne A.K., Valente A.M., Henao R., Yuan X., Glickman S.W., Rice B.J., McClain M.T., Carin L., Corey G.R., Ginsburg G.S., Cairns C.B., Otero R.M., Fowler V.G., Rivers E.P., Woods C.W., Kingsmore S.F.",1756994X,"Genome Medicine",6, 11,0,0,0,0,0,0,0,0,0,0,10,10
2014,"Allocator: An interactive web platform for the analysis of metabolomic LC-ESI-MS datasets, enabling semi-automated, user-revised compound annotation and mass isotopomer ratio analysis","Kessler N., Walter F., Persicke M., Albaum S.P., Kalinowski J., Goesmann A., Niehaus K., Nattkemper T.W.",19326203,"PLoS ONE",9, 11,0,0,0,0,0,0,0,0,0,0,8,8
2014,"Community-integrated omics links dominance of a microbial generalist to fine-tuned resource usage","Muller E.E.L., Pinel N., Laczny C.C., Hoopmann M.R., Narayanasamy S., Lebrun L.A., Roume H., Lin J., May P., Hicks N.D., Heintz-Buschart A., Wampach L., Liu C.M., Price L.B., Gillece J.D., Guignard C., Schupp J.M., Vlassis N., Baliga N.S., Moritz R.L., Keim P.S., Wilmes P.",20411723,"Nature Communications",5, ,0,0,0,0,0,0,0,0,0,0,22,22
2014,"MSCs conditioned media and umbilical cord blood plasma metabolomics and composition","Pereira T., Ivanova G., Caseiro A.R., Barbosa P., Bartolo P.J., Santos J.D., Luis A.L., Mauricio A.C.",19326203,"PLoS ONE",9, 11,0,0,0,0,0,0,0,0,0,0,14,14
2014,"Dose-dependent metabolic alterations in human cells exposed to gamma irradiation","Kwon Y.-K., Ha I.J., Bae H.-W., Jang W.G., Yun H.J., Kim S.R., Lee E.K., Kang C.-M., Hwang G.-S.",19326203,"PLoS ONE",9, 11,0,0,0,0,0,0,0,0,0,0,4,4
2014,"A fast algorithm for determining bounds and accurate approximate -values of the rank product statistic for replicate experiments","Heskes T., Eisinga R., Breitling R.",14712105,"BMC Bioinformatics",15, 1,0,0,0,0,0,0,0,0,0,0,12,12
2014,"Phenotype-based cell-specific metabolic modeling reveals metabolic liabilities of cancer","Yizhak K., Gaude E., Le Devedec S., Waldman Y.Y., Stein G.Y., van de Water B., Frezza C., Ruppin E.",2050084X,"eLife",3, November,0,0,0,0,0,0,0,0,0,0,32,32
2014,"Metabolomics evaluation of serum markers for cachexia and their intra-day variation in patients with advanced pancreatic cancer","Fujiwara Y., Kobayashi T., Chayahara N., Imamura Y., Toyoda M., Kiyota N., Mukohara T., Nishiumi S., Azuma T., Yoshida M., Minami H.",19326203,"PLoS ONE",9, 11,0,0,0,0,0,0,0,0,0,0,7,7
2014,"Brain region mapping using global metabolomics","Ivanisevic J., Epstein A.A., Kurczy M.E., Benton P.H., Uritboonthai W., Fox H.S., Boska M.D., Gendelman H.E., Siuzdak G.",10745521,"Chemistry and Biology",21, 11,0,0,0,0,0,0,0,0,0,0,15,15
2014,"Ischaemic accumulation of succinate controls reperfusion injury through mitochondrial ROS","Chouchani E.T., Pell V.R., Gaude E., Aksentijevic D., Sundier S.Y., Robb E.L., Logan A., Nadtochiy S.M., Ord E.N.J., Smith A.C., Eyassu F., Shirley R., Hu C.-H., Dare A.J., James A.M., Rogatti S., Hartley R.C., Eaton S., Costa A.S.H., Brookes P.S., Davidson S.M., Duchen M.R., Saeb-Parsy K., Shattock M.J., Robinson A.J., Work L.M., Frezza C., Krieg T., Murphy M.P.",00280836,"Nature",515, 7527,0,0,0,0,0,0,0,0,1,1,267,268
2014,"Metabolic profiling and flux analysis of MEL-2 human embryonic stem cells during exponential growth at physiological and atmospheric oxygen concentrations","Turner J., Quek L.-E., Titmarsh D., Kromer J.O., Kao L.-P., Nielsen L., Wolvetang E., Cooper-White J.",19326203,"PLoS ONE",9, 11,0,0,0,0,0,0,0,0,0,0,14,14
2014,"High-resolution mass spectrometry associated with data mining tools for the detection of pollutants and chemical characterization of honey samples","Cotton J., Leroux F., Broudin S., Marie M., Corman B., Tabet J.-C., Ducruix C., Junot C.",00218561,"Journal of Agricultural and Food Chemistry",62, 46,0,0,0,0,0,0,0,0,0,0,17,17
2014,"Influence of pistachios on performance and exercise-induced inflammation, oxidative stress, immune dysfunction, and metabolite shifts in cyclists: A randomized, crossover trial","Nieman D.C., Scherr J., Luo B., Meaney M.P., Dreau D., Sha W., Dew D.A., Henson D.A., Pappan K.L.",19326203,"PLoS ONE",9, 11,0,0,0,0,0,0,0,0,0,0,12,12
2014,"Chemotaxonomy of hawaiian anthurium cultivars based on multivariate analysis of phenolic metabolites","Clark B.R., Bliss B.J., Suzuki J.Y., Borris R.P.",00218561,"Journal of Agricultural and Food Chemistry",62, 46,0,0,0,0,0,0,0,0,0,0,5,5
2014,"Maresin 1 biosynthesis during platelet-neutrophil interactions is organ-protective","Abdulnour R.-E.E., Dalli J., Colby J.K., Krishnamoorthy N., Timmons J.Y., Tan S.H., Colas R.A., Petasis N.A., Serhan C.N., Levy B.D.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",111, 46,0,0,0,0,0,0,0,0,0,0,33,33
2014,"Computational surprisal analysis speeds-up genomic characterization of cancer processes","Kravchenko-Balasha N., Simon S., Levine R.D., Remacle F., Exman I.",19326203,"PLoS ONE",9, 11,0,0,0,0,0,0,0,0,0,0,2,2
2014,"Reduction of the cytosolic phosphoglucomutase in Arabidopsis reveals impact on plant growth, seed and root development, and carbohydrate partitioning","Malinova I., Kunz H.-H., Alseekh S., Herbst K., Fernie A.R., Gierth M., Fettke J.",19326203,"PLoS ONE",9, 11,0,0,0,0,0,0,0,0,0,0,7,7
2014,"Targeted integration of RNA-seq and metabolite data to elucidate curcuminoid biosynthesis in four curcuma species","Li D., Ono N., Sato T., Sugiura T., Altaf-Ul-Amin M., Ohta D., Suzuki H., Arita M., Tanaka K., Ma Z., Kanaya S.",00320781,"Plant and Cell Physiology",56, 5,0,0,0,0,0,0,0,0,0,0,3,3
2014,"Development of a metabolomic approach based on urine samples and direct infusion mass spectrometry","Gonzalez-Dominguez R., Castilla-Quintero R., Garcia-Barrera T., Gomez-Ariza J.L.",00032697,"Analytical Biochemistry",465, ,0,0,0,0,0,0,0,0,1,1,14,15
2014,"Sampling of intracellular metabolites for stationary and non-stationary <sup>13</sup>C metabolic flux analysis in Escherichia coli","Millard P., Massou S., Wittmann C., Portais J.-C., Letisse F.",00032697,"Analytical Biochemistry",465, ,0,0,0,0,0,0,0,0,1,1,18,19
2014,"A matrix-induced ion suppression method to normalize concentration in urinary metabolomics studies using flow injection analysis electrospray ionization mass spectrometry","Chen G.-Y., Liao H.-W., Tseng Y.J., Tsai I.-L., Kuo C.-H.",00032670,"Analytica Chimica Acta",864, ,0,0,0,0,0,0,0,0,0,0,7,7
2014,"Catabolism of (2E)-4-hydroxy-2-nonenal viaω- and ω-1-oxidation stimulated by ketogenic diet","Jin Z., Berthiaume J.M., Li Q., Henry F., Huang Z., Sadhukhan S., Gao P., Tochtrop G.P., Puchowicz M.A., Zhang G.-F.",00219258,"Journal of Biological Chemistry",289, 46,0,0,0,0,0,0,0,0,0,0,6,6
2014,"Changes in transcription and metabolism during the early stage of replicative cellular senescence in budding yeast","Kamei Y., Tamada Y., Nakayama Y., Fukusaki E., Mukai Y.",00219258,"Journal of Biological Chemistry",289, 46,0,0,0,0,0,0,0,0,0,0,5,5
2014,"Possible contribution of taurine to distorted glucagon secretion in intra-islet insulin deficiency: A metabolome analysis using a novel α-cell model of insulin-deficient diabetes","Bessho M., Murase-Mishiba Y., Imagawa A., Terasaki J., Hanafusa T.",19326203,"PLoS ONE",9, 11,0,0,0,0,0,0,0,0,0,0,2,2
