Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Architecture and Dynamics of the Jasmonic Acid Gene Regulatory Network.","/pubmed/28827376","Hickman R, van Verk MC, Van Dijken AJH, Pereira Mendes M, Vroegop-Vos IA, Caarls L, Steenbergen M, Van Der Nagel I, Wesselink GJ, Jironkin A, Talbot A, Rhodes J, de Vries M, Schuurink RC, Denby K, Pieterse CMJ, Van Wees SCM.","Plant Cell. 2017 Aug 21. pii: tpc.00958.2016. doi: 10.1105/tpc.16.00958. [Epub ahead of print]","Plant Cell.  2017","PubMed","citation","PMID:28827376","pubmed","28827376","create date:2017/08/23 | first author:Hickman R",
"Transcriptomic and epigenetic regulation of disuse atrophy and the return to activity in skeletal muscle.","/pubmed/28821632","Fisher AG, Seaborne RA, Hughes TM, Gutteridge A, Stewart C, Coulson JM, Sharples AP, Jarvis JC.","FASEB J. 2017 Aug 17. pii: fj.201700089RR. doi: 10.1096/fj.201700089RR. [Epub ahead of print]","FASEB J.  2017","PubMed","citation","PMID:28821632","pubmed","28821632","create date:2017/08/20 | first author:Fisher AG",
"Efficient and accurate causal inference with hidden confounders from genome-transcriptome variation data.","/pubmed/28821014","Wang L, Michoel T.","PLoS Comput Biol. 2017 Aug 18;13(8):e1005703. doi: 10.1371/journal.pcbi.1005703. eCollection 2017 Aug.","PLoS Comput Biol.  2017","PubMed","citation","PMID:28821014","pubmed","28821014","create date:2017/08/19 | first author:Wang L",
"ePlant: Visualizing and Exploring Multiple Levels of Data for Hypothesis Generation in Plant Biology.","/pubmed/28808136","Waese J, Fan J, Pasha A, Yu H, Fucile G, Shi R, Cumming M, Kelley LA, Sternberg MJ, Krishnakumar V, Ferlanti E, Miller J, Town C, Stuerzlinger W, Provart NJ.","Plant Cell. 2017 Aug;29(8):1806-1821. doi: 10.1105/tpc.17.00073. Epub 2017 Aug 14.","Plant Cell.  2017","PubMed","citation","PMID:28808136","pubmed","28808136","create date:2017/08/16 | first author:Waese J",
"Genomic evidence reveals a radiation of placental mammals uninterrupted by the KPg boundary.","/pubmed/28808022","Liu L, Zhang J, Rheindt FE, Lei F, Qu Y, Wang Y, Zhang Y, Sullivan C, Nie W, Wang J, Yang F, Chen J, Edwards SV, Meng J, Wu S.","Proc Natl Acad Sci U S A. 2017 Aug 29;114(35):E7282-E7290. doi: 10.1073/pnas.1616744114. Epub 2017 Aug 14.","Proc Natl Acad Sci U S A.  2017","PubMed","citation","PMID:28808022","pubmed","28808022","create date:2017/08/16 | first author:Liu L",
"Self-organization process in newborn skin organoid formation inspires strategy to restore hair regeneration of adult cells.","/pubmed/28798065","Lei M, Schumacher LJ, Lai YC, Juan WT, Yeh CY, Wu P, Jiang TX, Baker RE, Widelitz RB, Yang L, Chuong CM.","Proc Natl Acad Sci U S A. 2017 Aug 22;114(34):E7101-E7110. doi: 10.1073/pnas.1700475114. Epub 2017 Aug 10.","Proc Natl Acad Sci U S A.  2017","PubMed","citation","PMID:28798065 | PMCID:PMC5576784","pubmed","28798065","create date:2017/08/12 | first author:Lei M",
"Transcriptome and proteome analysis of Salmonella enterica serovar Typhimurium systemic infection of wild type and immune-deficient mice.","/pubmed/28796780","Oshota O, Conway M, Fookes M, Schreiber F, Chaudhuri RR, Yu L, Morgan FJE, Clare S, Choudhary J, Thomson NR, Lio P, Maskell DJ, Mastroeni P, Grant AJ.","PLoS One. 2017 Aug 10;12(8):e0181365. doi: 10.1371/journal.pone.0181365. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28796780 | PMCID:PMC5552096","pubmed","28796780","create date:2017/08/11 | first author:Oshota O",
"A conifer UDP-sugar dependent glycosyltransferase contributes to acetophenone metabolism and defense against insects.","/pubmed/28794260","Mageroy MH, Jancsik S, Yuen MMS, Fischer M, Withers SG, Paetz C, Schneider B, MacKay JJ, Bohlmann J.","Plant Physiol. 2017 Aug 9. pii: pp.00611.2017. doi: 10.1104/pp.17.00611. [Epub ahead of print]","Plant Physiol.  2017","PubMed","citation","PMID:28794260","pubmed","28794260","create date:2017/08/11 | first author:Mageroy MH",
"Lung tumors with distinct p53 mutations respond similarly to p53 targeted therapy but exhibit genotype-specific statin sensitivity.","/pubmed/28790158","Turrell FK, Kerr EM, Gao M, Thorpe H, Doherty GJ, Cridge J, Shorthouse D, Speed A, Samarajiwa S, Hall BA, Griffiths M, Martins CP.","Genes Dev. 2017 Aug 8. doi: 10.1101/gad.298463.117. [Epub ahead of print]","Genes Dev.  2017","PubMed","citation","PMID:28790158","pubmed","28790158","create date:2017/08/10 | first author:Turrell FK",
"Niche-specific gene expression in a parasitic nematode; increased expression of immunomodulators in Teladorsagia circumcincta larvae derived from host mucosa.","/pubmed/28775251","McNeilly TN, Frew D, Burgess STG, Wright H, Bartley DJ, Bartley Y, Nisbet AJ.","Sci Rep. 2017 Aug 3;7(1):7214. doi: 10.1038/s41598-017-07092-0.","Sci Rep.  2017","PubMed","citation","PMID:28775251 | PMCID:PMC5543109","pubmed","28775251","create date:2017/08/05 | first author:McNeilly TN",
"HIV-1 selectively targets gut-homing CCR6+CD4+ T cells via mTOR-dependent mechanisms.","/pubmed/28768913","Planas D, Zhang Y, Monteiro P, Goulet JP, Gosselin A, Grandvaux N, Hope TJ, Fassati A, Routy JP, Ancuta P.","JCI Insight. 2017 Aug 3;2(15). pii: 93230. doi: 10.1172/jci.insight.93230. [Epub ahead of print]","JCI Insight.  2017","PubMed","citation","PMID:28768913 | PMCID:PMC5543920","pubmed","28768913","create date:2017/08/05 | first author:Planas D",
"Identification of the macrophage-specific promoter signature in FANTOM5 mouse embryo developmental time course data.","/pubmed/28751473","Summers KM, Hume DA.","J Leukoc Biol. 2017 Jul 27. pii: jlb.1A0417-150RR. doi: 10.1189/jlb.1A0417-150RR. [Epub ahead of print]","J Leukoc Biol.  2017","PubMed","citation","PMID:28751473","pubmed","28751473","create date:2017/07/29 | first author:Summers KM",
"Switching of dominant retrotransposon silencing strategies from posttranscriptional to transcriptional mechanisms during male germ-cell development in mice.","/pubmed/28749988","Inoue K, Ichiyanagi K, Fukuda K, Glinka M, Sasaki H.","PLoS Genet. 2017 Jul 27;13(7):e1006926. doi: 10.1371/journal.pgen.1006926. eCollection 2017 Jul.","PLoS Genet.  2017","PubMed","citation","PMID:28749988 | PMCID:PMC5549759","pubmed","28749988","create date:2017/07/28 | first author:Inoue K",
"Active nuclear transcriptome analysis reveals inflammasome-dependent mechanism for early neutrophil response to Mycobacterium marinum.","/pubmed/28747644","Kenyon A, Gavriouchkina D, Zorman J, Napolitani G, Cerundolo V, Sauka-Spengler T.","Sci Rep. 2017 Jul 26;7(1):6505. doi: 10.1038/s41598-017-06099-x.","Sci Rep.  2017","PubMed","citation","PMID:28747644 | PMCID:PMC5529371","pubmed","28747644","create date:2017/07/28 | first author:Kenyon A",
"Generation of ribosome imprinted polymers for sensitive detection of translational responses.","/pubmed/28747643","King HA, El-Sharif HF, Matia-González AM, Iadevaia V, Fowotade A, Reddy SM, Gerber AP.","Sci Rep. 2017 Jul 26;7(1):6542. doi: 10.1038/s41598-017-06970-x.","Sci Rep.  2017","PubMed","citation","PMID:28747643 | PMCID:PMC5529568","pubmed","28747643","create date:2017/07/28 | first author:King HA",
"Targeted Genome Sequencing Reveals Varicella-Zoster Virus Open Reading Frame 12 Deletion.","/pubmed/28747504","Cohrs RJ, Lee KS, Beach A, Sanford B, Baird NL, Como C, Graybill C, Jones D, Tekeste E, Ballard M, Chen X, Yalacki D, Frietze S, Jones K, Lenac Rovis T, Jonjić S, Haas J, Gilden D.","J Virol. 2017 Jul 26. pii: JVI.01141-17. doi: 10.1128/JVI.01141-17. [Epub ahead of print]","J Virol.  2017","PubMed","citation","PMID:28747504","pubmed","28747504","create date:2017/07/28 | first author:Cohrs RJ",
"Bacterial Signaling Nucleotides Inhibit Yeast Cell Growth by Impacting Mitochondrial and Other Specifically Eukaryotic Functions.","/pubmed/28743817","Hesketh A, Vergnano M, Wan C, Oliver SG.","MBio. 2017 Jul 25;8(4). pii: e01047-17. doi: 10.1128/mBio.01047-17.","MBio.  2017","PubMed","citation","PMID:28743817 | PMCID:PMC5527313","pubmed","28743817","create date:2017/07/27 | first author:Hesketh A",
"Insecticide resistance is mediated by multiple mechanisms in recently introduced Aedes aegypti from Madeira Island (Portugal).","/pubmed/28742096","Seixas G, Grigoraki L, Weetman D, Vicente JL, Silva AC, Pinto J, Vontas J, Sousa CA.","PLoS Negl Trop Dis. 2017 Jul 24;11(7):e0005799. doi: 10.1371/journal.pntd.0005799. eCollection 2017 Jul.","PLoS Negl Trop Dis.  2017","PubMed","citation","PMID:28742096 | PMCID:PMC5542702","pubmed","28742096","create date:2017/07/26 | first author:Seixas G",
"Transcriptome analysis of IFM-specific actin and myosin nulls in Drosophila melanogaster unravels lesion-specific expression blueprints across muscle mutations.","/pubmed/28739398","Madan A, Thimmaiya D, Franco-Cea A, Aiyaz M, Kumar P, Sparrow JC, Nongthomba U.","Gene. 2017 Oct 5;631:16-28. doi: 10.1016/j.gene.2017.07.061. Epub 2017 Jul 22.","Gene.  2017","PubMed","citation","PMID:28739398","pubmed","28739398","create date:2017/07/26 | first author:Madan A",
"Gene expression reversal toward pre-adult levels in the aging human brain and age-related loss of cellular identity.","/pubmed/28724976","Dönertaş HM, İzgi H, Kamacıoğlu A, He Z, Khaitovich P, Somel M.","Sci Rep. 2017 Jul 19;7(1):5894. doi: 10.1038/s41598-017-05927-4.","Sci Rep.  2017","PubMed","citation","PMID:28724976 | PMCID:PMC5517654","pubmed","28724976","create date:2017/07/21 | first author:Dönertaş HM",
"Lack of AcrB Efflux Function Confers Loss of Virulence on Salmonella enterica Serovar Typhimurium.","/pubmed/28720734","Wang-Kan X, Blair JMA, Chirullo B, Betts J, La Ragione RM, Ivens A, Ricci V, Opperman TJ, Piddock LJV.","MBio. 2017 Jul 18;8(4). pii: e00968-17. doi: 10.1128/mBio.00968-17.","MBio.  2017","PubMed","citation","PMID:28720734 | PMCID:PMC5516257","pubmed","28720734","create date:2017/07/20 | first author:Wang-Kan X",
"Short reads from honey bee (Apis sp.) sequencing projects reflect microbial associate diversity.","/pubmed/28717593","Gerth M, Hurst GDD.","PeerJ. 2017 Jul 12;5:e3529. doi: 10.7717/peerj.3529. eCollection 2017.","PeerJ.  2017","PubMed","citation","PMID:28717593 | PMCID:PMC5510586","pubmed","28717593","create date:2017/07/19 | first author:Gerth M",
"Signatures of inflammation and impending multiple organ dysfunction in the hyperacute phase of trauma: A prospective cohort study.","/pubmed/28715416","Cabrera CP, Manson J, Shepherd JM, Torrance HD, Watson D, Longhi MP, Hoti M, Patel MB, O'Dwyer M, Nourshargh S, Pennington DJ, Barnes MR, Brohi K.","PLoS Med. 2017 Jul 17;14(7):e1002352. doi: 10.1371/journal.pmed.1002352. eCollection 2017 Jul.","PLoS Med.  2017","PubMed","citation","PMID:28715416 | PMCID:PMC5513400","pubmed","28715416","create date:2017/07/18 | first author:Cabrera CP",
"Bridging the Gap to Non-toxic Fungal Control: Lupinus-Derived Blad-Containing Oligomer as a Novel Candidate to Combat Human Pathogenic Fungi.","/pubmed/28702011","Pinheiro AM, Carreira A, Prescott TAK, Ferreira RB, Monteiro SA.","Front Microbiol. 2017 Jun 28;8:1182. doi: 10.3389/fmicb.2017.01182. eCollection 2017.","Front Microbiol.  2017","PubMed","citation","PMID:28702011 | PMCID:PMC5487463","pubmed","28702011","create date:2017/07/14 | first author:Pinheiro AM",
"Replicable and Coupled Changes in Innate and Adaptive Immune Gene Expression in Two Case-Control Studies of Blood Microarrays in Major Depressive Disorder.","/pubmed/28688579","Leday GGR, Vértes PE, Richardson S, Greene JR, Regan T, Khan S, Henderson R, Freeman TC, Pariante CM, Harrison NA; MRC Immunopsychiatry Consortium., Perry VH, Drevets WC, Wittenberg GM, Bullmore ET.","Biol Psychiatry. 2017 Jul 6. pii: S0006-3223(17)31617-7. doi: 10.1016/j.biopsych.2017.01.021. [Epub ahead of print]","Biol Psychiatry.  2017","PubMed","citation","PMID:28688579","pubmed","28688579","create date:2017/07/10 | first author:Leday GGR",
"Transcriptomic Perspectives on Neocortical Structure, Development, Evolution, and Disease.","/pubmed/28661727","Lein ES, Belgard TG, Hawrylycz M, Molnár Z.","Annu Rev Neurosci. 2017 Jul 25;40:629-652. doi: 10.1146/annurev-neuro-070815-013858. Epub 2017 Jun 29.","Annu Rev Neurosci.  2017","PubMed","citation","PMID:28661727","pubmed","28661727","create date:2017/07/01 | first author:Lein ES",
"Identification of a Sjögren's syndrome susceptibility locus at OAS1 that influences isoform switching, protein expression, and responsiveness to type I interferons.","/pubmed/28640813","Li H, Reksten TR, Ice JA, Kelly JA, Adrianto I, Rasmussen A, Wang S, He B, Grundahl KM, Glenn SB, Miceli-Richard C, Bowman S, Lester S, Eriksson P, Eloranta ML, Brun JG, Gøransson LG, Harboe E, Guthridge JM, Kaufman KM, Kvarnström M, Cunninghame Graham DS, et al.","PLoS Genet. 2017 Jun 22;13(6):e1006820. doi: 10.1371/journal.pgen.1006820. eCollection 2017 Jun.","PLoS Genet.  2017","PubMed","citation","PMID:28640813 | PMCID:PMC5501660","pubmed","28640813","create date:2017/06/24 | first author:Li H",
"Loss of C-5 Sterol Desaturase Activity Results in Increased Resistance to Azole and Echinocandin Antifungals in a Clinical Isolate of Candida parapsilosis.","/pubmed/28630186","Rybak JM, Dickens CM, Parker JE, Caudle KE, Manigaba K, Whaley SG, Nishimoto AT, Luna-Tapia A, Roy S, Zhang Q, Barker KS, Palmer GE, Sutter TR, Homayouni R, Wiederhold NP, Kelly SL, Rogers PD.","Antimicrob Agents Chemother. 2017 Aug 24;61(9). pii: e00651-17. doi: 10.1128/AAC.00651-17. Print 2017 Sep.","Antimicrob Agents Chemother.  2017","PubMed","citation","PMID:28630186 | PMCID:PMC5571332","pubmed","28630186","create date:2017/06/21 | first author:Rybak JM",
"Integrated genome and transcriptome sequencing identifies a noncoding mutation in the genome replication factor DONSON as the cause of microcephaly-micromelia syndrome.","/pubmed/28630177","Evrony GD, Cordero DR, Shen J, Partlow JN, Yu TW, Rodin RE, Hill RS, Coulter ME, Lam AN, Jayaraman D, Gerrelli D, Diaz DG, Santos C, Morrison V, Galli A, Tschulena U, Wiemann S, Martel MJ, Spooner B, Ryu SC, Elhosary PC, Richardson JM, et al.","Genome Res. 2017 Aug;27(8):1323-1335. doi: 10.1101/gr.219899.116. Epub 2017 Jun 19.","Genome Res.  2017","PubMed","citation","PMID:28630177 | PMCID:PMC5538549","pubmed","28630177","create date:2017/06/21 | first author:Evrony GD",
"Comparative sequence analysis reveals regulation of genes in developing schistosomula of Schistosoma mansoni exposed to host portal serum.","/pubmed/28622369","Jeremias WJ, Araújo FMG, Queiroz FR, Pais FSM, Mattos ACA, Salim ACM, Coelho PMZ, Oliveira GC, Kusel JR, Guerra-Sá R, Coimbra RS, Babá ÉH.","PLoS One. 2017 Jun 16;12(6):e0178829. doi: 10.1371/journal.pone.0178829. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28622369 | PMCID:PMC5473564","pubmed","28622369","create date:2017/06/18 | first author:Jeremias WJ",
"Hepatic transcriptomic profiles from barramundi, Lates calcarifer, as a means of assessing organism health and identifying stressors in rivers in northern Queensland.","/pubmed/28601346","Hook SE, Kroon FJ, Greenfield PA, Warne MSJ, Smith RA, Turner RD.","Mar Environ Res. 2017 Aug;129:166-179. doi: 10.1016/j.marenvres.2017.05.006. Epub 2017 May 31.","Mar Environ Res.  2017","PubMed","citation","PMID:28601346","pubmed","28601346","create date:2017/06/12 | first author:Hook SE",
"Transcriptome profiling reveals bisphenol A alternatives activate estrogen receptor alpha in human breast cancer cells.","/pubmed/28591870","Mesnage R, Phedonos A, Arno M, Balu S, Christopher Corton J, Antoniou MN.","Toxicol Sci. 2017 Jun 7. doi: 10.1093/toxsci/kfx101. [Epub ahead of print]","Toxicol Sci.  2017","PubMed","citation","PMID:28591870","pubmed","28591870","create date:2017/06/08 | first author:Mesnage R",
"Genome Evolution of Plant-Parasitic Nematodes.","/pubmed/28590877","Kikuchi T, Eves-van den Akker S, Jones JT.","Annu Rev Phytopathol. 2017 Aug 4;55:333-354. doi: 10.1146/annurev-phyto-080516-035434. Epub 2017 Jun 7.","Annu Rev Phytopathol.  2017","PubMed","citation","PMID:28590877","pubmed","28590877","create date:2017/06/08 | first author:Kikuchi T",
"The neuropeptidome of the Crown-of-Thorns Starfish, Acanthaster planci.","/pubmed/28577918","Smith MK, Wang T, Suwansa-Ard S, Motti CA, Elizur A, Zhao M, Rowe ML, Hall MR, Elphick MR, Cummins SF.","J Proteomics. 2017 Aug 8;165:61-68. doi: 10.1016/j.jprot.2017.05.026. Epub 2017 May 31.","J Proteomics.  2017","PubMed","citation","PMID:28577918","pubmed","28577918","create date:2017/06/05 | first author:Smith MK",
"Persistence of Innate Immune Pathways in Late Stage Human Bacterial and Fungal Keratitis: Results from a Comparative Transcriptome Analysis.","/pubmed/28573109","Chidambaram JD, Kannambath S, Srikanthi P, Shah M, Lalitha P, Elakkiya S, Bauer J, Prajna NV, Holland MJ, Burton MJ.","Front Cell Infect Microbiol. 2017 May 18;7:193. doi: 10.3389/fcimb.2017.00193. eCollection 2017.","Front Cell Infect Microbiol.  2017","PubMed","citation","PMID:28573109 | PMCID:PMC5435826","pubmed","28573109","create date:2017/06/03 | first author:Chidambaram JD",
"Gene expression analysis of rocket salad under pre-harvest and postharvest stresses: A transcriptomic resource for Diplotaxis tenuifolia.","/pubmed/28558066","Cavaiuolo M, Cocetta G, Spadafora ND, Müller CT, Rogers HJ, Ferrante A.","PLoS One. 2017 May 30;12(5):e0178119. doi: 10.1371/journal.pone.0178119. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28558066 | PMCID:PMC5448768","pubmed","28558066","create date:2017/05/31 | first author:Cavaiuolo M",
"Transcriptomics technologies.","/pubmed/28545146","Lowe R, Shirley N, Bleackley M, Dolan S, Shafee T.","PLoS Comput Biol. 2017 May 18;13(5):e1005457. doi: 10.1371/journal.pcbi.1005457. eCollection 2017 May.","PLoS Comput Biol.  2017","PubMed","citation","PMID:28545146 | PMCID:PMC5436640","pubmed","28545146","create date:2017/05/26 | first author:Lowe R",
"Molecular approaches to the diagnosis and monitoring of production diseases in pigs.","/pubmed/28535467","Giles TA, Belkhiri A, Barrow PA, Foster N.","Res Vet Sci. 2017 May 17;114:266-272. doi: 10.1016/j.rvsc.2017.05.016. [Epub ahead of print] Review.","Res Vet Sci.  2017","PubMed","citation","PMID:28535467","pubmed","28535467","create date:2017/05/24 | first author:Giles TA",
"miR-196b-5p Regulates Colorectal Cancer Cell Migration and Metastases through Interaction with HOXB7 and GALNT5.","/pubmed/28533224","Stiegelbauer V, Vychytilova-Faltejskova P, Karbiener M, Pehserl AM, Reicher A, Resel M, Heitzer E, Ivan C, Bullock M, Ling H, Deutsch A, Wulf-Goldenberg A, Adiprasito JB, Stoeger H, Haybaeck J, Svoboda M, Stotz M, Hoefler G, Slaby O, Calin GA, Gerger A, Pichler M.","Clin Cancer Res. 2017 Sep 1;23(17):5255-5266. doi: 10.1158/1078-0432.CCR-17-0023. Epub 2017 May 22.","Clin Cancer Res.  2017","PubMed","citation","PMID:28533224","pubmed","28533224","create date:2017/05/24 | first author:Stiegelbauer V",
"Transcriptional and Post-transcriptional Gene Regulation by Long Non-coding RNA.","/pubmed/28529100","Dykes IM, Emanueli C.","Genomics Proteomics Bioinformatics. 2017 Jun;15(3):177-186. doi: 10.1016/j.gpb.2016.12.005. Epub 2017 May 19. Review.","Genomics Proteomics Bioinformatics.  2017","PubMed","citation","PMID:28529100 | PMCID:PMC5487525","pubmed","28529100","create date:2017/05/23 | first author:Dykes IM",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Colorectal cancer subtypes: Translation to routine clinical pathology.","/pubmed/28505475","Roseweir AK, McMillan DC, Horgan PG, Edwards J.","Cancer Treat Rev. 2017 Jun;57:1-7. doi: 10.1016/j.ctrv.2017.04.006. Epub 2017 May 4. Review.","Cancer Treat Rev.  2017","PubMed","citation","PMID:28505475","pubmed","28505475","create date:2017/05/16 | first author:Roseweir AK",
"A high-coverage draft genome of the mycalesine butterfly Bicyclus anynana.","/pubmed/28486658","Nowell RW, Elsworth B, Oostra V, Zwaan BJ, Wheat CW, Saastamoinen M, Saccheri IJ, Van't Hof AE, Wasik BR, Connahs H, Aslam ML, Kumar S, Challis RJ, Monteiro A, Brakefield PM, Blaxter M.","Gigascience. 2017 May 9. doi: 10.1093/gigascience/gix035. [Epub ahead of print]","Gigascience.  2017","PubMed","citation","PMID:28486658 | PMCID:PMC5493746","pubmed","28486658","create date:2017/05/10 | first author:Nowell RW",
"Development and application of 14 microsatellite markers in the burying beetle Nicrophorus vespilloides reveals population genetic differentiation at local spatial scales.","/pubmed/28480146","Pascoal S, Kilner RM.","PeerJ. 2017 May 2;5:e3278. doi: 10.7717/peerj.3278. eCollection 2017.","PeerJ.  2017","PubMed","citation","PMID:28480146 | PMCID:PMC5417058","pubmed","28480146","create date:2017/05/10 | first author:Pascoal S",
"Proteomic analysis of filaggrin deficiency identifies molecular signatures characteristic of atopic eczema.","/pubmed/28479159","Elias MS, Long HA, Newman CF, Wilson PA, West A, McGill PJ, Wu KC, Donaldson MJ, Reynolds NJ.","J Allergy Clin Immunol. 2017 Apr 28. pii: S0091-6749(17)30471-2. doi: 10.1016/j.jaci.2017.01.039. [Epub ahead of print]","J Allergy Clin Immunol.  2017","PubMed","citation","PMID:28479159","pubmed","28479159","create date:2017/05/10 | first author:Elias MS",
"The highly buffered Arabidopsis immune signaling network conceals the functions of its components.","/pubmed/28472137","Hillmer RA, Tsuda K, Rallapalli G, Asai S, Truman W, Papke MD, Sakakibara H, Jones JDG, Myers CL, Katagiri F.","PLoS Genet. 2017 May 4;13(5):e1006639. doi: 10.1371/journal.pgen.1006639. eCollection 2017 May.","PLoS Genet.  2017","PubMed","citation","PMID:28472137 | PMCID:PMC5417422","pubmed","28472137","create date:2017/05/05 | first author:Hillmer RA",
