Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Increased ophthalmic acid production is supported by amino acid catabolism under fasting conditions in mice.","/pubmed/28757411","Kobayashi S, Lee J, Takao T, Fujii J.","Biochem Biophys Res Commun. 2017 Sep 23;491(3):649-655. doi: 10.1016/j.bbrc.2017.07.149. Epub 2017 Jul 28.","Biochem Biophys Res Commun.  2017","PubMed","citation","PMID:28757411","pubmed","28757411","create date:2017/08/02 | first author:Kobayashi S",
"Colony Lysate Arrays for Proteomic Profiling of Drug-Tolerant Persisters of Cancer Cell.","/pubmed/28753272","Kume K, Nishizuka SS.","Anal Chem. 2017 Aug 11. doi: 10.1021/acs.analchem.7b01215. [Epub ahead of print]","Anal Chem.  2017","PubMed","citation","PMID:28753272","pubmed","28753272","create date:2017/07/29 | first author:Kume K",
"MiR-199a Inhibits Secondary Envelopment of Herpes Simplex Virus-1 Through the Downregulation of Cdc42-specific GTPase Activating Protein Localized in Golgi Apparatus.","/pubmed/28751779","Kobayashi K, Suemasa F, Sagara H, Nakamura S, Ino Y, Kobayashi K, Hiramatsu H, Haraguchi T, Kurokawa K, Todo T, Nakano A, Iba H.","Sci Rep. 2017 Jul 27;7(1):6650. doi: 10.1038/s41598-017-06754-3.","Sci Rep.  2017","PubMed","citation","PMID:28751779 | PMCID:PMC5532371","pubmed","28751779","create date:2017/07/29 | first author:Kobayashi K",
"Glycolytic Enzymes Coalesce in G Bodies under Hypoxic Stress.","/pubmed/28746874","Jin M, Fuller GG, Han T, Yao Y, Alessi AF, Freeberg MA, Roach NP, Moresco JJ, Karnovsky A, Baba M, Yates JR 3rd, Gitler AD, Inoki K, Klionsky DJ, Kim JK.","Cell Rep. 2017 Jul 25;20(4):895-908. doi: 10.1016/j.celrep.2017.06.082.","Cell Rep.  2017","PubMed","citation","PMID:28746874","pubmed","28746874","create date:2017/07/27 | first author:Jin M",
"Datasets of mung bean proteins and metabolites from four different cultivars.","/pubmed/28736740","Hashiguchi A, Zhu W, Tian J, Komatsu S.","Data Brief. 2017 Jul 4;13:703-706. doi: 10.1016/j.dib.2017.06.051. eCollection 2017 Aug.","Data Brief.  2017","PubMed","citation","PMID:28736740 | PMCID:PMC5510489","pubmed","28736740","create date:2017/07/25 | first author:Hashiguchi A",
"Stable isotope labeling by fatty acids in cell culture (SILFAC) coupled with isotope pattern dependent mass spectrometry for global screening of lipid hydroperoxide-mediated protein modifications.","/pubmed/28735093","Takahashi R, Fujioka S, Oe T, Lee SH.","J Proteomics. 2017 Aug 23;166:101-114. doi: 10.1016/j.jprot.2017.07.006. Epub 2017 Jul 20.","J Proteomics.  2017","PubMed","citation","PMID:28735093","pubmed","28735093","create date:2017/07/25 | first author:Takahashi R",
"Development of aptamers against unpurified proteins.","/pubmed/28734049","Goto S, Tsukakoshi K, Ikebukuro K.","Biotechnol Bioeng. 2017 Jul 22. doi: 10.1002/bit.26389. [Epub ahead of print] Review.","Biotechnol Bioeng.  2017","PubMed","citation","PMID:28734049","pubmed","28734049","create date:2017/07/25 | first author:Goto S",
"Metabolic profiles of flooding-tolerant mechanism in early-stage soybean responding to initial stress.","/pubmed/28733872","Wang X, Zhu W, Hashiguchi A, Nishimura M, Tian J, Komatsu S.","Plant Mol Biol. 2017 Aug;94(6):669-685. doi: 10.1007/s11103-017-0635-3. Epub 2017 Jul 21.","Plant Mol Biol.  2017","PubMed","citation","PMID:28733872","pubmed","28733872","create date:2017/07/25 | first author:Wang X",
"Absolute Phosphorylation Stoichiometry Analysis by Motif-Targeting Quantitative Mass Spectrometry.","/pubmed/28730488","Tsai CF, Ku WC, Chen YJ, Ishihama Y.","Methods Mol Biol. 2017;1636:313-325. doi: 10.1007/978-1-4939-7154-1_20.","Methods Mol Biol.  2017","PubMed","citation","PMID:28730488","pubmed","28730488","create date:2017/07/22 | first author:Tsai CF",
"The whole-genome landscape of medulloblastoma subtypes.","/pubmed/28726821","Northcott PA, Buchhalter I, Morrissy AS, Hovestadt V, Weischenfeldt J, Ehrenberger T, Gröbner S, Segura-Wang M, Zichner T, Rudneva VA, Warnatz HJ, Sidiropoulos N, Phillips AH, Schumacher S, Kleinheinz K, Waszak SM, Erkek S, Jones DTW, Worst BC, Kool M, Zapatka M, Jäger N, et al.","Nature. 2017 Jul 19;547(7663):311-317. doi: 10.1038/nature22973.","Nature.  2017","PubMed","citation","PMID:28726821","pubmed","28726821","create date:2017/07/21 | first author:Northcott PA",
"Dynamics of genomic innovation in the unicellular ancestry of animals.","/pubmed/28726632","Grau-Bové X, Torruella G, Donachie S, Suga H, Leonard G, Richards TA, Ruiz-Trillo I.","Elife. 2017 Jul 20;6. pii: e26036. doi: 10.7554/eLife.26036.","Elife.  2017","PubMed","citation","PMID:28726632 | PMCID:PMC5560861","pubmed","28726632","create date:2017/07/21 | first author:Grau-Bové X",
"Lysosomal targeting of SIDT2 via multiple YXXΦ motifs is required for SIDT2 function in the process of RNautophagy.","/pubmed/28724756","Contu VR, Hase K, Kozuka-Hata H, Oyama M, Fujiwara Y, Kabuta C, Takahashi M, Hakuno F, Takahashi SI, Wada K, Kabuta T.","J Cell Sci. 2017 Jul 19. pii: jcs.202481. doi: 10.1242/jcs.202481. [Epub ahead of print]","J Cell Sci.  2017","PubMed","citation","PMID:28724756","pubmed","28724756","create date:2017/07/21 | first author:Contu VR",
"Top-down/Bottom-up Mass Spectrometry Workflow Using Dissolvable Polyacrylamide Gels.","/pubmed/28723075","Takemori N, Takemori A, Wongkongkathep P, Nshanian M, Loo RRO, Lermyte F, Loo JA.","Anal Chem. 2017 Aug 15;89(16):8244-8250. doi: 10.1021/acs.analchem.7b00357. Epub 2017 Aug 2.","Anal Chem.  2017","PubMed","citation","PMID:28723075","pubmed","28723075","create date:2017/07/21 | first author:Takemori N",
"Highly selective enrichment of phosphopeptides by on-chip indium oxide functionalized magnetic nanoparticles coupled with MALDI-TOF MS.","/pubmed/28722797","Jiang D, Song N, Li X, Ma J, Jia Q.","Proteomics. 2017 Jul 19. doi: 10.1002/pmic.201700213. [Epub ahead of print]","Proteomics.  2017","PubMed","citation","PMID:28722797","pubmed","28722797","create date:2017/07/20 | first author:Jiang D",
"A Chemoproteomics Approach to Investigate Phosphopantetheine Transferase Activity at the Cellular Level.","/pubmed/28722191","Konno S, Ishikawa F, Suzuki T, Dohmae N, Kakeya H, Tanabe G.","Chembiochem. 2017 Jul 19. doi: 10.1002/cbic.201700301. [Epub ahead of print]","Chembiochem.  2017","PubMed","citation","PMID:28722191","pubmed","28722191","create date:2017/07/20 | first author:Konno S",
"Structure and properties of oil bodies in diatoms.","/pubmed/28717018","Maeda Y, Nojima D, Yoshino T, Tanaka T.","Philos Trans R Soc Lond B Biol Sci. 2017 Sep 5;372(1728). pii: 20160408. doi: 10.1098/rstb.2016.0408. Review.","Philos Trans R Soc Lond B Biol Sci.  2017","PubMed","citation","PMID:28717018 | PMCID:PMC5516117","pubmed","28717018","create date:2017/07/19 | first author:Maeda Y",
"Regulation of tubular recycling endosome biogenesis by the p53-MICALL1 pathway.","/pubmed/28714518","Takahashi Y, Tanikawa C, Miyamoto T, Hirata M, Wang G, Ueda K, Komatsu T, Matsuda K.","Int J Oncol. 2017 Aug;51(2):724-736. doi: 10.3892/ijo.2017.4060. Epub 2017 Jun 28.","Int J Oncol.  2017","PubMed","citation","PMID:28714518","pubmed","28714518","create date:2017/07/18 | first author:Takahashi Y",
"Neural Circuit-Specialized Astrocytes: Transcriptomic, Proteomic, Morphological, and Functional Evidence.","/pubmed/28712653","Chai H, Diaz-Castro B, Shigetomi E, Monte E, Octeau JC, Yu X, Cohn W, Rajendran PS, Vondriska TM, Whitelegge JP, Coppola G, Khakh BS.","Neuron. 2017 Aug 2;95(3):531-549.e9. doi: 10.1016/j.neuron.2017.06.029. Epub 2017 Jul 14.","Neuron.  2017","PubMed","citation","PMID:28712653","pubmed","28712653","create date:2017/07/18 | first author:Chai H",
"Seed Metabolome Analysis of a Transgenic Rice Line Expressing Cholera Toxin B-subunit.","/pubmed/28701756","Ogawa T, Kashima K, Yuki Y, Mejima M, Kurokawa S, Kuroda M, Okazawa A, Kiyono H, Ohta D.","Sci Rep. 2017 Jul 12;7(1):5196. doi: 10.1038/s41598-017-04701-w.","Sci Rep.  2017","PubMed","citation","PMID:28701756 | PMCID:PMC5507873","pubmed","28701756","create date:2017/07/14 | first author:Ogawa T",
"Ubiquitination in Periodontal Disease: A Review.","/pubmed/28698506","Tsuchida S, Satoh M, Takiwaki M, Nomura F.","Int J Mol Sci. 2017 Jul 10;18(7). pii: E1476. doi: 10.3390/ijms18071476. Review.","Int J Mol Sci.  2017","PubMed","citation","PMID:28698506 | PMCID:PMC5535967","pubmed","28698506","create date:2017/07/13 | first author:Tsuchida S",
"Proteomic profiling of archaeological human bone.","/pubmed/28680659","Sawafuji R, Cappellini E, Nagaoka T, Fotakis AK, Jersie-Christensen RR, Olsen JV, Hirata K, Ueda S.","R Soc Open Sci. 2017 Jun 7;4(6):161004. doi: 10.1098/rsos.161004. eCollection 2017 Jun.","R Soc Open Sci.  2017","PubMed","citation","PMID:28680659 | PMCID:PMC5493901","pubmed","28680659","create date:2017/07/07 | first author:Sawafuji R",
"Herpes Simplex Virus 1 Small Capsomere-Interacting Protein VP26 Regulates Nucleocapsid Maturation.","/pubmed/28679756","Kobayashi R, Kato A, Sagara H, Watanabe M, Maruzuru Y, Koyanagi N, Arii J, Kawaguchi Y.","J Virol. 2017 Jul 5. pii: JVI.01068-17. doi: 10.1128/JVI.01068-17. [Epub ahead of print]","J Virol.  2017","PubMed","citation","PMID:28679756","pubmed","28679756","create date:2017/07/07 | first author:Kobayashi R",
"Glucose-regulated protein 78 autoantibody associates with blood-brain barrier disruption in neuromyelitis optica.","/pubmed/28679661","Shimizu F, Schaller KL, Owens GP, Cotleur AC, Kellner D, Takeshita Y, Obermeier B, Kryzer TJ, Sano Y, Kanda T, Lennon VA, Ransohoff RM, Bennett JL.","Sci Transl Med. 2017 Jul 5;9(397). pii: eaai9111. doi: 10.1126/scitranslmed.aai9111.","Sci Transl Med.  2017","PubMed","citation","PMID:28679661","pubmed","28679661","create date:2017/07/07 | first author:Shimizu F",
"MRG15-mediated tethering of PALB2 to unperturbed chromatin protects active genes from genotoxic stress.","/pubmed/28673974","Bleuyard JY, Fournier M, Nakato R, Couturier AM, Katou Y, Ralf C, Hester SS, Dominguez D, Rhodes D, Humphrey TC, Shirahige K, Esashi F.","Proc Natl Acad Sci U S A. 2017 Jul 18;114(29):7671-7676. doi: 10.1073/pnas.1620208114. Epub 2017 Jul 3.","Proc Natl Acad Sci U S A.  2017","PubMed","citation","PMID:28673974 | PMCID:PMC5530651","pubmed","28673974","create date:2017/07/05 | first author:Bleuyard JY",
"In-depth proteomic analysis of Glycine max seeds during controlled deterioration treatment reveals a shift in seed metabolism.","/pubmed/28669816","Min CW, Lee SH, Cheon YE, Han WY, Ko JM, Kang HW, Kim YC, Agrawal GK, Rakwal R, Gupta R, Kim ST.","J Proteomics. 2017 Jun 29. pii: S1874-3919(17)30232-4. doi: 10.1016/j.jprot.2017.06.022. [Epub ahead of print]","J Proteomics.  2017","PubMed","citation","PMID:28669816","pubmed","28669816","create date:2017/07/04 | first author:Min CW",
"The use of metabolomic quantitative trait locus mapping and osmotic adjustment traits for the improvement of crop yields under environmental stresses.","/pubmed/28668354","Adbelrahman M, Burritt DJ, Tran LP.","Semin Cell Dev Biol. 2017 Jun 28. pii: S1084-9521(16)30394-9. doi: 10.1016/j.semcdb.2017.06.020. [Epub ahead of print] Review.","Semin Cell Dev Biol.  2017","PubMed","citation","PMID:28668354","pubmed","28668354","create date:2017/07/03 | first author:Adbelrahman M",
"Proteomic analysis of soybean seedling leaf under waterlogging stress in a time-dependent manner.","/pubmed/28666670","Kazemi Oskuei B, Yin X, Hashiguchi A, Bandehagh A, Komatsu S.","Biochim Biophys Acta. 2017 Sep;1865(9):1167-1177. doi: 10.1016/j.bbapap.2017.06.022. Epub 2017 Jun 27.","Biochim Biophys Acta.  2017","PubMed","citation","PMID:28666670","pubmed","28666670","create date:2017/07/02 | first author:Kazemi Oskuei B",
"A noncoding RNA containing a SINE-B1 motif associates with meiotic metaphase chromatin and has an indispensable function during spermatogenesis.","/pubmed/28658256","Nakajima R, Sato T, Ogawa T, Okano H, Noce T.","PLoS One. 2017 Jun 28;12(6):e0179585. doi: 10.1371/journal.pone.0179585. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28658256 | PMCID:PMC5489172","pubmed","28658256","create date:2017/06/29 | first author:Nakajima R",
"Nuclear import of glucokinase in pancreatic beta-cells is mediated by a nuclear localization signal and modulated by SUMOylation.","/pubmed/28648619","Johansson BB, Fjeld K, Solheim MH, Shirakawa J, Zhang E, Keindl M, Hu J, Lindqvist A, Døskeland A, Mellgren G, Flatmark T, Njølstad PR, Kulkarni RN, Wierup N, Aukrust I, Bjørkhaug L.","Mol Cell Endocrinol. 2017 Oct 15;454:146-157. doi: 10.1016/j.mce.2017.06.020. Epub 2017 Jun 22.","Mol Cell Endocrinol.  2017","PubMed","citation","PMID:28648619","pubmed","28648619","create date:2017/06/27 | first author:Johansson BB",
"Transcriptomic and Proteomic Profiling Provides Insight into Mesangial Cell Function in IgA Nephropathy.","/pubmed/28646076","Liu P, Lassén E, Nair V, Berthier CC, Suguro M, Sihlbom C, Kretzler M, Betsholtz C, Haraldsson B, Ju W, Ebefors K, Nyström J.","J Am Soc Nephrol. 2017 Jun 23. pii: ASN.2016101103. doi: 10.1681/ASN.2016101103. [Epub ahead of print]","J Am Soc Nephrol.  2017","PubMed","citation","PMID:28646076","pubmed","28646076","create date:2017/06/25 | first author:Liu P",
"Multivalent binding of PWWP2A to H2A.Z regulates mitosis and neural crest differentiation.","/pubmed/28645917","Pünzeler S, Link S, Wagner G, Keilhauer EC, Kronbeck N, Spitzer RM, Leidescher S, Markaki Y, Mentele E, Regnard C, Schneider K, Takahashi D, Kusakabe M, Vardabasso C, Zink LM, Straub T, Bernstein E, Harata M, Leonhardt H, Mann M, Rupp RA, Hake SB.","EMBO J. 2017 Aug 1;36(15):2263-2279. doi: 10.15252/embj.201695757. Epub 2017 Jun 23.","EMBO J.  2017","PubMed","citation","PMID:28645917 | PMCID:PMC5538766","pubmed","28645917","create date:2017/06/25 | first author:Pünzeler S",
"Use of SpyTag/SpyCatcher to construct bispecific antibodies that target two epitopes of a single antigen.","/pubmed/28637250","Yumura K, Akiba H, Nagatoishi S, Kusano-Arai O, Iwanari H, Hamakubo T, Tsumoto K.","J Biochem. 2017 Jun 16. doi: 10.1093/jb/mvx023. [Epub ahead of print]","J Biochem.  2017","PubMed","citation","PMID:28637250","pubmed","28637250","create date:2017/06/24 | first author:Yumura K",
"Ubiquitination-Linked Phosphorylation of the FANCI S/TQ Cluster Contributes to Activation of the Fanconi Anemia I/D2 Complex.","/pubmed/28636932","Cheung RS, Castella M, Abeyta A, Gafken PR, Tucker N, Taniguchi T.","Cell Rep. 2017 Jun 20;19(12):2432-2440. doi: 10.1016/j.celrep.2017.05.081.","Cell Rep.  2017","PubMed","citation","PMID:28636932 | PMCID:PMC5538132","pubmed","28636932","create date:2017/06/22 | first author:Cheung RS",
"Exploration of Spinal Cord Aging-Related Proteins Using a Proteomics Approach.","/pubmed/28634429","Kamiya K, Furuya T, Hashimoto M, Mannoji C, Inada T, Ota M, Maki S, Ijima Y, Saito J, Kitamura M, Ohtori S, Orita S, Inage K, Yamazaki M, Koda M.","J Exp Neurosci. 2017 Jun 8;11:1179069517713019. doi: 10.1177/1179069517713019. eCollection 2017.","J Exp Neurosci.  2017","PubMed","citation","PMID:28634429 | PMCID:PMC5467915","pubmed","28634429","create date:2017/06/22 | first author:Kamiya K",
"A subset of cerebrovascular pericytes originates from mature macrophages in the very early phase of vascular development in CNS.","/pubmed/28634350","Yamamoto S, Muramatsu M, Azuma E, Ikutani M, Nagai Y, Sagara H, Koo BN, Kita S, O'Donnell E, Osawa T, Takahashi H, Takano KI, Dohmoto M, Sugimori M, Usui I, Watanabe Y, Hatakeyama N, Iwamoto T, Komuro I, Takatsu K, Tobe K, Niida S, et al.","Sci Rep. 2017 Jun 20;7(1):3855. doi: 10.1038/s41598-017-03994-1.","Sci Rep.  2017","PubMed","citation","PMID:28634350 | PMCID:PMC5478595","pubmed","28634350","create date:2017/06/22 | first author:Yamamoto S",
"Immunohistochemical expression analysis of leucine-rich PPR-motif-containing protein (LRPPRC), a candidate colorectal cancer biomarker identified by shotgun proteomics using iTRAQ.","/pubmed/28622966","Nishio T, Kurabe N, Goto-Inoue N, Nakamura T, Sugimura H, Setou M, Maekawa M.","Clin Chim Acta. 2017 Aug;471:276-282. doi: 10.1016/j.cca.2017.06.011. Epub 2017 Jun 13.","Clin Chim Acta.  2017","PubMed","citation","PMID:28622966","pubmed","28622966","create date:2017/06/18 | first author:Nishio T",
"Signaling pathway profiling using reverse-phase protein array and its clinical applications.","/pubmed/28621158","Masuda M, Yamada T.","Expert Rev Proteomics. 2017 Jul;14(7):607-615. doi: 10.1080/14789450.2017.1344101. Epub 2017 Jun 22.","Expert Rev Proteomics.  2017","PubMed","citation","PMID:28621158","pubmed","28621158","create date:2017/06/18 | first author:Masuda M",
"iTRAQ-based proteomics of sunflower cultivars differing in resistance to parasitic weed Orobanche cumana.","/pubmed/28618117","Yang C, Xu L, Zhang N, Islam F, Song W, Hu L, Liu D, Xie X, Zhou W.","Proteomics. 2017 Jul;17(13-14). doi: 10.1002/pmic.201700009.","Proteomics.  2017","PubMed","citation","PMID:28618117","pubmed","28618117","create date:2017/06/16 | first author:Yang C",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Single-Step Enrichment of N-Glycopeptides and Phosphopeptides with Novel Multifunctional Ti(4+)-Immobilized Dendritic Polyglycerol Coated Chitosan Nanomaterials.","/pubmed/28609623","Zou X, Jie J, Yang B.","Anal Chem. 2017 Jul 18;89(14):7520-7526. doi: 10.1021/acs.analchem.7b01209. Epub 2017 Jun 30.","Anal Chem.  2017","PubMed","citation","PMID:28609623","pubmed","28609623","create date:2017/06/14 | first author:Zou X",
"Calreticulin is a novel independent prognostic factor for oral squamous cell carcinoma.","/pubmed/28599487","Harada K, Takenawa T, Ferdous T, Kuramitsu Y, Ueyama Y.","Oncol Lett. 2017 Jun;13(6):4857-4862. doi: 10.3892/ol.2017.6062. Epub 2017 Apr 20.","Oncol Lett.  2017","PubMed","citation","PMID:28599487 | PMCID:PMC5452987","pubmed","28599487","create date:2017/06/11 | first author:Harada K",
"Polymer-coated cardiopulmonary bypass circuit attenuates upregulation of both proteases/protease inhibitors and platelet degranulation in pigs.","/pubmed/28592188","Suehiro S, Shimizu K, Imai K, Niii A, Akeho K, Nakata H, Yamaguchi A, Matsumoto KI, Oda T.","Perfusion. 2017 Jun 1:267659117715506. doi: 10.1177/0267659117715506. [Epub ahead of print]","Perfusion.  2017","PubMed","citation","PMID:28592188","pubmed","28592188","create date:2017/06/09 | first author:Suehiro S",
"Proteomic Analysis of Calcium Effects on Soybean Root Tip under Flooding and Drought Stresses.","/pubmed/28586431","Wang X, Komatsu S.","Plant Cell Physiol. 2017 Jun 6. doi: 10.1093/pcp/pcx078. [Epub ahead of print]","Plant Cell Physiol.  2017","PubMed","citation","PMID:28586431","pubmed","28586431","create date:2017/06/07 | first author:Wang X",
"Identification of the sequence determinants of protein N-terminal acetylation through a decision tree approach.","/pubmed/28578658","Yamada KD, Omori S, Nishi H, Miyagi M.","BMC Bioinformatics. 2017 Jun 2;18(1):289. doi: 10.1186/s12859-017-1699-4.","BMC Bioinformatics.  2017","PubMed","citation","PMID:28578658 | PMCID:PMC5457594","pubmed","28578658","create date:2017/06/06 | first author:Yamada KD",
"Docosahexaenoic acid preserves visual function by maintaining correct disc morphology in retinal photoreceptor cells.","/pubmed/28578316","Shindou H, Koso H, Sasaki J, Nakanishi H, Sagara H, Nakagawa KM, Takahashi Y, Hishikawa D, Iizuka-Hishikawa Y, Tokumasu F, Noguchi H, Watanabe S, Sasaki T, Shimizu T.","J Biol Chem. 2017 Jul 21;292(29):12054-12064. doi: 10.1074/jbc.M117.790568. Epub 2017 Jun 3.","J Biol Chem.  2017","PubMed","citation","PMID:28578316 | PMCID:PMC5519357","pubmed","28578316","create date:2017/06/05 | first author:Shindou H",
"Protein Data Bank (PDB): The Single Global Macromolecular Structure Archive.","/pubmed/28573592","Burley SK, Berman HM, Kleywegt GJ, Markley JL, Nakamura H, Velankar S.","Methods Mol Biol. 2017;1607:627-641. doi: 10.1007/978-1-4939-7000-1_26.","Methods Mol Biol.  2017","PubMed","citation","PMID:28573592","pubmed","28573592","create date:2017/06/03 | first author:Burley SK",
"Identification of fucosylated Fetuin-A as a potential biomarker for cholangiocarcinoma.","/pubmed/28561948","Betesh L, Comunale MA, Wang M, Liang H, Hafner J, Karabudak A, Giama NH, Moser CD, Miyoshi E, Roberts LR, Block TM, Mehta A.","Proteomics Clin Appl. 2017 May 31. doi: 10.1002/prca.201600141. [Epub ahead of print]","Proteomics Clin Appl.  2017","PubMed","citation","PMID:28561948","pubmed","28561948","create date:2017/06/01 | first author:Betesh L",
